Timestamp,['1cca74ce-2848d284 0062-WARNOCK ENGR BLDG Power Meter 316606 Volts BC']
2017-11-26T00:00:00-07:00,213.63541666666666 V
2017-11-27T00:00:00-07:00,213.53125 V
2017-11-28T00:00:00-07:00,213.5625 V
2017-11-29T00:00:00-07:00,213.72916666666666 V
2017-11-30T00:00:00-07:00,213.90625 V
2017-12-01T00:00:00-07:00,213.55208333333334 V
2017-12-02T00:00:00-07:00,213.5625 V
2017-12-03T00:00:00-07:00,213.51041666666666 V
2017-12-04T00:00:00-07:00,213.66666666666666 V
2017-12-05T00:00:00-07:00,213.46875 V
2017-12-06T00:00:00-07:00,213.29166666666666 V
2017-12-07T00:00:00-07:00,213.20833333333334 V
2017-12-08T00:00:00-07:00,213.33333333333334 V
2017-12-09T00:00:00-07:00,213.79166666666666 V
2017-12-10T00:00:00-07:00,213.66666666666666 V
2017-12-11T00:00:00-07:00,213.58333333333334 V
2017-12-12T00:00:00-07:00,213.39583333333334 V
2017-12-13T00:00:00-07:00,213.71875 V
2017-12-14T00:00:00-07:00,213.5 V
2017-12-15T00:00:00-07:00,213.55208333333334 V
2017-12-16T00:00:00-07:00,213.55208333333334 V
2017-12-17T00:00:00-07:00,213.52083333333334 V
2017-12-18T00:00:00-07:00,213.72222222222223 V
2017-12-19T00:00:00-07:00,213.625 V
2017-12-20T00:00:00-07:00,213.53125 V
2017-12-21T00:00:00-07:00,213.59375 V
2017-12-22T00:00:00-07:00,213.67708333333334 V
2017-12-23T00:00:00-07:00,213.41666666666666 V
2017-12-24T00:00:00-07:00,213.84375 V
2017-12-25T00:00:00-07:00,213.63541666666666 V
2017-12-26T00:00:00-07:00,213.63541666666666 V
2017-12-27T00:00:00-07:00,213.60416666666666 V
2017-12-28T00:00:00-07:00,213.69791666666666 V
2017-12-29T00:00:00-07:00,213.60416666666666 V
2017-12-30T00:00:00-07:00,213.47916666666666 V
2017-12-31T00:00:00-07:00,213.48958333333334 V
