Timestamp,['1cac6e4c-0002e86a 0011-BROWNING BLDG Power Meter 311945 KW Total']
2017-10-02T00:00:00-06:00,88.81599426269531 kW
2017-10-03T00:00:00-06:00,78.84797668457031 kW
2017-10-04T00:00:00-06:00,78.92767333984375 kW
2017-10-05T00:00:00-06:00,84.0348129272461 kW
2017-10-06T00:00:00-06:00,80.0809326171875 kW
2017-10-07T00:00:00-06:00,57.694950103759766 kW
2017-10-08T00:00:00-06:00,59.0511589050293 kW
2017-10-09T00:00:00-06:00,76.73368072509766 kW
2017-10-10T00:00:00-06:00,77.14032745361328 kW
2017-10-11T00:00:00-06:00,73.15347290039062 kW
2017-10-12T00:00:00-06:00,77.9197006225586 kW
2017-10-13T00:00:00-06:00,109.2096176147461 kW
2017-10-14T00:00:00-06:00,65.77860260009766 kW
2017-10-15T00:00:00-06:00,56.04243469238281 kW
2017-10-16T00:00:00-06:00,71.08543395996094 kW
2017-10-17T00:00:00-06:00,76.45979309082031 kW
2017-10-18T00:00:00-06:00,104.37031555175781 kW
2017-10-19T00:00:00-06:00,106.8506851196289 kW
2017-10-20T00:00:00-06:00,73.81359100341797 kW
2017-10-21T00:00:00-06:00,57.08449935913086 kW
2017-10-22T00:00:00-06:00,55.31871032714844 kW
2017-10-23T00:00:00-06:00,108.1117172241211 kW
2017-10-24T00:00:00-06:00,109.63165283203125 kW
2017-10-25T00:00:00-06:00,110.23377227783203 kW
2017-10-26T00:00:00-06:00,112.65747833251953 kW
2017-10-27T00:00:00-06:00,106.4048843383789 kW
2017-10-28T00:00:00-06:00,63.20789337158203 kW
2017-10-29T00:00:00-06:00,59.154415130615234 kW
2017-10-30T00:00:00-06:00,121.318603515625 kW
2017-10-31T00:00:00-06:00,117.2587890625 kW
2017-11-01T00:00:00-06:00,104.77275085449219 kW
2017-11-02T00:00:00-06:00,71.63856506347656 kW
2017-11-03T00:00:00-06:00,86.31763458251953 kW
2017-11-04T00:00:00-06:00,53.68762969970703 kW
2017-11-05T00:00:00-06:00,55.71988296508789 kW
2017-11-06T00:00:00-07:00,72.12152862548828 kW
2017-11-07T00:00:00-07:00,97.10868072509766 kW
2017-11-08T00:00:00-07:00,109.24539184570312 kW
2017-11-09T00:00:00-07:00,77.00431060791016 kW
2017-11-10T00:00:00-07:00,75.11231994628906 kW
2017-11-11T00:00:00-07:00,57.71094512939453 kW
2017-11-12T00:00:00-07:00,57.887630462646484 kW
2017-11-13T00:00:00-07:00,76.0738525390625 kW
2017-11-14T00:00:00-07:00,121.02813720703125 kW
2017-11-15T00:00:00-07:00,109.69532775878906 kW
2017-11-16T00:00:00-07:00,113.00109100341797 kW
2017-11-17T00:00:00-07:00,107.5762939453125 kW
2017-11-18T00:00:00-07:00,58.955135345458984 kW
2017-11-19T00:00:00-07:00,60.43714904785156 kW
2017-11-20T00:00:00-07:00,104.57937622070312 kW
2017-11-21T00:00:00-07:00,112.74485778808594 kW
2017-11-22T00:00:00-07:00,70.38480377197266 kW
2017-11-23T00:00:00-07:00,58.61225128173828 kW
2017-11-24T00:00:00-07:00,60.02114486694336 kW
2017-11-25T00:00:00-07:00,94.04031372070312 kW
2017-11-26T00:00:00-07:00,62.22879409790039 kW
2017-11-27T00:00:00-07:00,116.24996185302734 kW
2017-11-28T00:00:00-07:00,116.22962188720703 kW
2017-11-29T00:00:00-07:00,109.65067291259766 kW
2017-11-30T00:00:00-07:00,103.66481018066406 kW
2017-12-01T00:00:00-07:00,70.78565216064453 kW
2017-12-02T00:00:00-07:00,54.37037658691406 kW
2017-12-03T00:00:00-07:00,62.694854736328125 kW
2017-12-04T00:00:00-07:00,77.48578643798828 kW
2017-12-05T00:00:00-07:00,77.17326354980469 kW
2017-12-06T00:00:00-07:00,87.4126205444336 kW
2017-12-07T00:00:00-07:00,74.69166564941406 kW
2017-12-08T00:00:00-07:00,67.26375579833984 kW
2017-12-09T00:00:00-07:00,56.51238250732422 kW
2017-12-10T00:00:00-07:00,57.02477264404297 kW
2017-12-11T00:00:00-07:00,68.14067077636719 kW
2017-12-12T00:00:00-07:00,64.78455352783203 kW
2017-12-13T00:00:00-07:00,63.51110076904297 kW
2017-12-14T00:00:00-07:00,71.59119415283203 kW
2017-12-15T00:00:00-07:00,64.9244155883789 kW
2017-12-16T00:00:00-07:00,53.989166259765625 kW
2017-12-17T00:00:00-07:00,49.73602294921875 kW
2017-12-18T00:00:00-07:00,70.58710479736328 kW
2017-12-19T00:00:00-07:00,88.01277923583984 kW
2017-12-20T00:00:00-07:00,62.532344818115234 kW
2017-12-21T00:00:00-07:00,67.3613510131836 kW
2017-12-22T00:00:00-07:00,68.74795532226562 kW
2017-12-23T00:00:00-07:00,52.77861785888672 kW
2017-12-24T00:00:00-07:00,51.353553771972656 kW
2017-12-25T00:00:00-07:00,53.671485900878906 kW
2017-12-26T00:00:00-07:00,52.4879150390625 kW
2017-12-27T00:00:00-07:00,62.3422966003418 kW
2017-12-28T00:00:00-07:00,57.451541900634766 kW
2017-12-29T00:00:00-07:00,56.522884368896484 kW
2017-12-30T00:00:00-07:00,51.96499252319336 kW
2017-12-31T00:00:00-07:00,52.5186653137207 kW
