Timestamp,['1da98315-ccdea701 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Current A']
2017-10-25T00:00:00-06:00,135.58619276682535 A
2017-10-26T00:00:00-06:00,116.01512853304546 A
2017-10-27T00:00:00-06:00,110.6996084054311 A
2017-10-28T00:00:00-06:00,109.55779123306274 A
2017-10-29T00:00:00-06:00,110.34235556920369 A
2017-10-30T00:00:00-06:00,114.83196528752644 A
2017-10-31T00:00:00-06:00,108.43932763735454 A
2017-11-01T00:00:00-06:00,113.55612635612488 A
2017-11-02T00:00:00-06:00,135.64292017618814 A
2017-11-03T00:00:00-06:00,348.67292030908726 A
2017-11-04T00:00:00-06:00,172.82292556762695 A
2017-11-05T00:00:00-06:00,107.50960136413575 A
2017-11-06T00:00:00-07:00,113.08464459870991 A
2017-11-07T00:00:00-07:00,107.08290335472594 A
2017-11-08T00:00:00-07:00,130.082545828312 A
2017-11-09T00:00:00-07:00,218.9841813246409 A
2017-11-10T00:00:00-07:00,270.78593436876935 A
2017-11-11T00:00:00-07:00,339.2476676305135 A
2017-11-12T00:00:00-07:00,112.73712070782979 A
2017-11-13T00:00:00-07:00,122.99692551294963 A
2017-11-14T00:00:00-07:00,109.27420155207317 A
2017-11-15T00:00:00-07:00,108.76112961769104 A
2017-11-16T00:00:00-07:00,108.8260707060496 A
2017-11-17T00:00:00-07:00,347.2983897527059 A
2017-11-18T00:00:00-07:00,142.45380155245462 A
2017-11-19T00:00:00-07:00,108.93666299184163 A
2017-11-20T00:00:00-07:00,108.02831506729126 A
2017-11-21T00:00:00-07:00,112.09995977083842 A
2017-11-22T00:00:00-07:00,106.89325404167175 A
2017-11-23T00:00:00-07:00,105.45858788490295 A
2017-11-24T00:00:00-07:00,106.60424915949504 A
2017-11-25T00:00:00-07:00,290.9638446172078 A
2017-11-26T00:00:00-07:00,175.16098141670227 A
2017-11-27T00:00:00-07:00,131.66643500328064 A
2017-11-28T00:00:00-07:00,107.82593552271526 A
2017-11-29T00:00:00-07:00,115.5874924659729 A
2017-11-30T00:00:00-07:00,115.14571809768677 A
2017-12-01T00:00:00-07:00,110.06328709920247 A
2017-12-02T00:00:00-07:00,107.12313874562581 A
2017-12-03T00:00:00-07:00,108.04754686355591 A
2017-12-04T00:00:00-07:00,110.1609894434611 A
2017-12-05T00:00:00-07:00,111.40622782707214 A
2017-12-06T00:00:00-07:00,112.4430996576945 A
2017-12-07T00:00:00-07:00,109.52461814880371 A
