Timestamp,['1cca746c-55736214 0062-WARNOCK ENGR BLDG Power Meter 316606 Current C']
2017-10-15T00:00:00-06:00,80.54166666666667 A
2017-10-16T00:00:00-06:00,100.3125 A
2017-10-17T00:00:00-06:00,102.58333333333333 A
2017-10-18T00:00:00-06:00,109.39583333333333 A
2017-10-19T00:00:00-06:00,96.66666666666667 A
2017-10-20T00:00:00-06:00,99.88541666666667 A
2017-10-21T00:00:00-06:00,75.375 A
2017-10-22T00:00:00-06:00,75.82291666666667 A
2017-10-23T00:00:00-06:00,98.32291666666667 A
2017-10-24T00:00:00-06:00,95.86458333333333 A
2017-10-25T00:00:00-06:00,101.29166666666667 A
2017-10-26T00:00:00-06:00,98.82291666666667 A
2017-10-27T00:00:00-06:00,92.59375 A
2017-10-28T00:00:00-06:00,72.80208333333333 A
2017-10-29T00:00:00-06:00,72.85416666666667 A
2017-10-30T00:00:00-06:00,107.30208333333333 A
2017-10-31T00:00:00-06:00,95 A
2017-11-01T00:00:00-06:00,106.83333333333333 A
2017-11-02T00:00:00-06:00,104.88541666666667 A
2017-11-03T00:00:00-06:00,98.76041666666667 A
2017-11-04T00:00:00-06:00,78.55208333333333 A
2017-11-05T00:00:00-06:00,77.47 A
2017-11-06T00:00:00-07:00,106.21875 A
2017-11-07T00:00:00-07:00,104.4375 A
2017-11-08T00:00:00-07:00,108.69791666666667 A
2017-11-09T00:00:00-07:00,103.9375 A
2017-11-10T00:00:00-07:00,97.55208333333333 A
2017-11-11T00:00:00-07:00,77.94791666666667 A
2017-11-12T00:00:00-07:00,77.52083333333333 A
2017-11-13T00:00:00-07:00,101.29166666666667 A
2017-11-14T00:00:00-07:00,98 A
2017-11-15T00:00:00-07:00,101.76041666666667 A
2017-11-16T00:00:00-07:00,98.58333333333333 A
2017-11-17T00:00:00-07:00,88.94791666666667 A
2017-11-18T00:00:00-07:00,73.64583333333333 A
2017-11-19T00:00:00-07:00,73.29166666666667 A
2017-11-20T00:00:00-07:00,96.23958333333333 A
2017-11-21T00:00:00-07:00,99.83333333333333 A
2017-11-22T00:00:00-07:00,92.04166666666667 A
2017-11-23T00:00:00-07:00,72.66666666666667 A
2017-11-24T00:00:00-07:00,73.52083333333333 A
2017-11-25T00:00:00-07:00,74.33333333333333 A
2017-11-26T00:00:00-07:00,76.83333333333333 A
2017-11-27T00:00:00-07:00,103.14583333333333 A
2017-11-28T00:00:00-07:00,105.60416666666667 A
2017-11-29T00:00:00-07:00,107.66666666666667 A
2017-11-30T00:00:00-07:00,98.15625 A
2017-12-01T00:00:00-07:00,95.95833333333333 A
2017-12-02T00:00:00-07:00,78.16666666666667 A
2017-12-03T00:00:00-07:00,75.09375 A
2017-12-04T00:00:00-07:00,105.83333333333333 A
2017-12-05T00:00:00-07:00,101.13541666666667 A
2017-12-06T00:00:00-07:00,107.75 A
2017-12-07T00:00:00-07:00,102.96875 A
2017-12-08T00:00:00-07:00,104 A
2017-12-09T00:00:00-07:00,81.61458333333333 A
2017-12-10T00:00:00-07:00,83.64583333333333 A
2017-12-11T00:00:00-07:00,102.55208333333333 A
2017-12-12T00:00:00-07:00,100.61458333333333 A
2017-12-13T00:00:00-07:00,101.55208333333333 A
2017-12-14T00:00:00-07:00,99.09375 A
2017-12-15T00:00:00-07:00,103.3125 A
2017-12-16T00:00:00-07:00,85.5 A
2017-12-17T00:00:00-07:00,84.23958333333333 A
2017-12-18T00:00:00-07:00,96.45555555555555 A
2017-12-19T00:00:00-07:00,90.96875 A
2017-12-20T00:00:00-07:00,97.38541666666667 A
2017-12-21T00:00:00-07:00,87.46875 A
2017-12-22T00:00:00-07:00,82.57291666666667 A
2017-12-23T00:00:00-07:00,77.375 A
2017-12-24T00:00:00-07:00,74.98958333333333 A
2017-12-25T00:00:00-07:00,74.57291666666667 A
2017-12-26T00:00:00-07:00,76.03125 A
2017-12-27T00:00:00-07:00,84.04166666666667 A
2017-12-28T00:00:00-07:00,87.58333333333333 A
2017-12-29T00:00:00-07:00,77.95833333333333 A
2017-12-30T00:00:00-07:00,77.83333333333333 A
2017-12-31T00:00:00-07:00,77.33333333333333 A
