Timestamp,['1cf8d7b8-b07543b7 0064-MERRILL ENGINEERING BLDG Power Meter (powerlogic) 316608 KWH Received']
2017-11-03T00:00:00-06:00,30837.333333333332 Wh
2017-11-04T00:00:00-06:00,30752 Wh
2017-11-05T00:00:00-06:00,30730.24 Wh
2017-11-06T00:00:00-07:00,30357.333333333332 Wh
2017-11-07T00:00:00-07:00,30240 Wh
2017-11-08T00:00:00-07:00,30528 Wh
2017-11-09T00:00:00-07:00,30197.333333333332 Wh
2017-11-10T00:00:00-07:00,30176 Wh
2017-11-11T00:00:00-07:00,30389.333333333332 Wh
2017-11-12T00:00:00-07:00,30400 Wh
2017-11-13T00:00:00-07:00,30474.666666666668 Wh
2017-11-14T00:00:00-07:00,30154.666666666668 Wh
2017-11-15T00:00:00-07:00,30176 Wh
2017-11-16T00:00:00-07:00,30005.333333333332 Wh
2017-11-17T00:00:00-07:00,30144 Wh
2017-11-18T00:00:00-07:00,30229.333333333332 Wh
2017-11-19T00:00:00-07:00,30389.333333333332 Wh
2017-11-20T00:00:00-07:00,30154.666666666668 Wh
2017-11-21T00:00:00-07:00,30357.333333333332 Wh
2017-11-22T00:00:00-07:00,30261.333333333332 Wh
2017-11-23T00:00:00-07:00,30240 Wh
2017-11-24T00:00:00-07:00,30378.666666666668 Wh
2017-11-25T00:00:00-07:00,30762.666666666668 Wh
2017-11-26T00:00:00-07:00,30698.666666666668 Wh
2017-11-27T00:00:00-07:00,30464 Wh
2017-11-28T00:00:00-07:00,30282.666666666668 Wh
2017-11-29T00:00:00-07:00,30581.333333333332 Wh
2017-11-30T00:00:00-07:00,30837.333333333332 Wh
2017-12-01T00:00:00-07:00,30336 Wh
2017-12-02T00:00:00-07:00,30410.666666666668 Wh
2017-12-03T00:00:00-07:00,30112 Wh
2017-12-04T00:00:00-07:00,30528 Wh
2017-12-05T00:00:00-07:00,30570.666666666668 Wh
2017-12-06T00:00:00-07:00,30624 Wh
2017-12-07T00:00:00-07:00,30581.333333333332 Wh
2017-12-08T00:00:00-07:00,30741.333333333332 Wh
2017-12-09T00:00:00-07:00,30794.666666666668 Wh
2017-12-10T00:00:00-07:00,30709.333333333332 Wh
2017-12-11T00:00:00-07:00,30826.666666666668 Wh
2017-12-12T00:00:00-07:00,30570.666666666668 Wh
2017-12-13T00:00:00-07:00,30666.666666666668 Wh
2017-12-14T00:00:00-07:00,30826.666666666668 Wh
2017-12-15T00:00:00-07:00,31136 Wh
2017-12-16T00:00:00-07:00,31018.666666666668 Wh
2017-12-17T00:00:00-07:00,30912 Wh
2017-12-18T00:00:00-07:00,32036.571428571428 Wh
2017-12-19T00:00:00-07:00,30389.333333333332 Wh
2017-12-20T00:00:00-07:00,30634.666666666668 Wh
