Timestamp,['206e9ea7-a587cdf0 0046-LASSONDE STUDIOS Power Meter 316259 Current C']
2017-12-01T00:00:00-07:00,127.98328860600789 A
2017-12-02T00:00:00-07:00,129.03742988904318 A
2017-12-03T00:00:00-07:00,132.4636414051056 A
2017-12-04T00:00:00-07:00,127.11677654584248 A
2017-12-05T00:00:00-07:00,128.23519190152487 A
2017-12-06T00:00:00-07:00,126.18245792388916 A
2017-12-07T00:00:00-07:00,129.05880268414816 A
2017-12-08T00:00:00-07:00,129.15865182876587 A
2017-12-09T00:00:00-07:00,124.65922697385152 A
2017-12-10T00:00:00-07:00,128.48372880617777 A
2017-12-11T00:00:00-07:00,128.0760363737742 A
2017-12-12T00:00:00-07:00,131.40544613202414 A
2017-12-13T00:00:00-07:00,131.69201572736105 A
2017-12-14T00:00:00-07:00,129.39190300305685 A
2017-12-15T00:00:00-07:00,130.91244912147522 A
2017-12-16T00:00:00-07:00,128.8733263015747 A
2017-12-17T00:00:00-07:00,128.66531229019165 A
2017-12-18T00:00:00-07:00,130.17188845398604 A
2017-12-19T00:00:00-07:00,129.8232351144155 A
2017-12-20T00:00:00-07:00,128.67918237050375 A
2017-12-21T00:00:00-07:00,120.36069345474243 A
2017-12-22T00:00:00-07:00,120.84551509221394 A
2017-12-23T00:00:00-07:00,120.49876157442729 A
2017-12-24T00:00:00-07:00,123.72302953402202 A
2017-12-25T00:00:00-07:00,118.33150577545166 A
2017-12-26T00:00:00-07:00,118.95072333017985 A
2017-12-27T00:00:00-07:00,121.9396984577179 A
2017-12-28T00:00:00-07:00,118.55841708183289 A
2017-12-29T00:00:00-07:00,121.81272761027019 A
2017-12-30T00:00:00-07:00,122.33523511886597 A
2017-12-31T00:00:00-07:00,124.12996888160706 A
