Timestamp,['1cf8d7ee-522df3c7 0064-MERRILL ENGINEERING BLDG Power Meter (powerlogic) 316608 Current A']
2017-09-16T00:00:00-06:00,134.73958333333334 A
2017-09-17T00:00:00-06:00,133.88541666666666 A
2017-09-18T00:00:00-06:00,134.4375 A
2017-09-19T00:00:00-06:00,133.95833333333334 A
2017-09-20T00:00:00-06:00,134.34375 A
2017-09-21T00:00:00-06:00,134.84375 A
2017-09-22T00:00:00-06:00,134.86458333333334 A
2017-09-23T00:00:00-06:00,133.19791666666666 A
2017-09-24T00:00:00-06:00,133.76041666666666 A
2017-09-25T00:00:00-06:00,131.73958333333334 A
2017-09-26T00:00:00-06:00,133.92708333333334 A
2017-09-27T00:00:00-06:00,133.71875 A
2017-09-28T00:00:00-06:00,135.14583333333334 A
2017-09-29T00:00:00-06:00,135.63541666666666 A
2017-09-30T00:00:00-06:00,136.88541666666666 A
2017-10-01T00:00:00-06:00,137.52083333333334 A
2017-10-02T00:00:00-06:00,137.96875 A
2017-10-03T00:00:00-06:00,137.89583333333334 A
2017-10-04T00:00:00-06:00,136.73958333333334 A
2017-10-05T00:00:00-06:00,134.77083333333334 A
2017-10-06T00:00:00-06:00,134.02083333333334 A
2017-10-07T00:00:00-06:00,134.38541666666666 A
2017-10-08T00:00:00-06:00,134.21875 A
2017-10-09T00:00:00-06:00,133.79166666666666 A
2017-10-10T00:00:00-06:00,133.13541666666666 A
2017-10-11T00:00:00-06:00,134.26041666666666 A
2017-10-12T00:00:00-06:00,132.28125 A
2017-10-13T00:00:00-06:00,132.79166666666666 A
2017-10-14T00:00:00-06:00,134.45833333333334 A
2017-10-15T00:00:00-06:00,134.38541666666666 A
2017-10-16T00:00:00-06:00,133.9375 A
2017-10-17T00:00:00-06:00,136.20833333333334 A
2017-10-18T00:00:00-06:00,135.78125 A
2017-10-19T00:00:00-06:00,135.04166666666666 A
2017-10-20T00:00:00-06:00,134.59375 A
2017-10-21T00:00:00-06:00,135.05208333333334 A
2017-10-22T00:00:00-06:00,135.17708333333334 A
2017-10-23T00:00:00-06:00,137.36458333333334 A
2017-10-24T00:00:00-06:00,138.0625 A
2017-10-25T00:00:00-06:00,136.21875 A
2017-10-26T00:00:00-06:00,134.72916666666666 A
2017-10-27T00:00:00-06:00,134.91666666666666 A
2017-10-28T00:00:00-06:00,134.72916666666666 A
2017-10-29T00:00:00-06:00,134.4375 A
2017-10-30T00:00:00-06:00,135.07291666666666 A
2017-10-31T00:00:00-06:00,135.36458333333334 A
2017-11-01T00:00:00-06:00,136.40625 A
2017-11-02T00:00:00-06:00,136.39583333333334 A
2017-11-03T00:00:00-06:00,137.42708333333334 A
2017-11-04T00:00:00-06:00,136.625 A
2017-11-05T00:00:00-06:00,136.72 A
2017-11-06T00:00:00-07:00,135.28125 A
2017-11-07T00:00:00-07:00,134.57291666666666 A
2017-11-08T00:00:00-07:00,135.90625 A
2017-11-09T00:00:00-07:00,134.5 A
2017-11-10T00:00:00-07:00,134.51041666666666 A
2017-11-11T00:00:00-07:00,135.9375 A
2017-11-12T00:00:00-07:00,135.98958333333334 A
2017-11-13T00:00:00-07:00,136.5 A
2017-11-14T00:00:00-07:00,135.03125 A
2017-11-15T00:00:00-07:00,135.23958333333334 A
2017-11-16T00:00:00-07:00,134.80208333333334 A
2017-11-17T00:00:00-07:00,135.09375 A
2017-11-18T00:00:00-07:00,135.6875 A
2017-11-19T00:00:00-07:00,136.26041666666666 A
2017-11-20T00:00:00-07:00,135.64583333333334 A
2017-11-21T00:00:00-07:00,136.23958333333334 A
2017-11-22T00:00:00-07:00,136.23958333333334 A
2017-11-23T00:00:00-07:00,135.33333333333334 A
2017-11-24T00:00:00-07:00,136.75 A
2017-11-25T00:00:00-07:00,138.0625 A
2017-11-26T00:00:00-07:00,137.94791666666666 A
2017-11-27T00:00:00-07:00,136.91666666666666 A
2017-11-28T00:00:00-07:00,136.53125 A
2017-11-29T00:00:00-07:00,136.94791666666666 A
2017-11-30T00:00:00-07:00,137.72916666666666 A
2017-12-01T00:00:00-07:00,135.55208333333334 A
2017-12-02T00:00:00-07:00,135.89583333333334 A
2017-12-03T00:00:00-07:00,134.9375 A
2017-12-04T00:00:00-07:00,136.25 A
2017-12-05T00:00:00-07:00,136.85416666666666 A
2017-12-06T00:00:00-07:00,137.44791666666666 A
2017-12-07T00:00:00-07:00,137.3125 A
2017-12-08T00:00:00-07:00,137.72916666666666 A
2017-12-09T00:00:00-07:00,137.54166666666666 A
2017-12-10T00:00:00-07:00,137.35416666666666 A
2017-12-11T00:00:00-07:00,138.15625 A
2017-12-12T00:00:00-07:00,137.29166666666666 A
2017-12-13T00:00:00-07:00,137.01041666666666 A
2017-12-14T00:00:00-07:00,137.80208333333334 A
2017-12-15T00:00:00-07:00,139.1875 A
2017-12-16T00:00:00-07:00,138.63541666666666 A
2017-12-17T00:00:00-07:00,138.51041666666666 A
2017-12-18T00:00:00-07:00,136.05555555555554 A
2017-12-19T00:00:00-07:00,136.4375 A
2017-12-20T00:00:00-07:00,137.1875 A
2017-12-21T00:00:00-07:00,137.96875 A
2017-12-22T00:00:00-07:00,141.125 A
2017-12-23T00:00:00-07:00,139.46875 A
2017-12-24T00:00:00-07:00,137.41666666666666 A
2017-12-25T00:00:00-07:00,137.63541666666666 A
2017-12-26T00:00:00-07:00,137.22916666666666 A
2017-12-27T00:00:00-07:00,136.60416666666666 A
2017-12-28T00:00:00-07:00,137.90625 A
2017-12-29T00:00:00-07:00,139.22916666666666 A
2017-12-30T00:00:00-07:00,139.67708333333334 A
2017-12-31T00:00:00-07:00,138.52083333333334 A
