Timestamp,['1cca745e-dec3256d 0062-WARNOCK ENGR BLDG Power Meter 316606 Current B']
2017-12-01T00:00:00-07:00,109 A
2017-12-02T00:00:00-07:00,86.1875 A
2017-12-03T00:00:00-07:00,85.8125 A
2017-12-04T00:00:00-07:00,121.5 A
2017-12-05T00:00:00-07:00,126.15625 A
2017-12-06T00:00:00-07:00,122.67708333333333 A
2017-12-07T00:00:00-07:00,121.14583333333333 A
2017-12-08T00:00:00-07:00,120.5625 A
2017-12-09T00:00:00-07:00,95.94791666666667 A
2017-12-10T00:00:00-07:00,94.32291666666667 A
2017-12-11T00:00:00-07:00,120.39583333333333 A
2017-12-12T00:00:00-07:00,116.63541666666667 A
2017-12-13T00:00:00-07:00,118.84375 A
2017-12-14T00:00:00-07:00,115.86458333333333 A
2017-12-15T00:00:00-07:00,117.05208333333333 A
2017-12-16T00:00:00-07:00,85.5625 A
2017-12-17T00:00:00-07:00,83.05208333333333 A
2017-12-18T00:00:00-07:00,100.21111111111111 A
2017-12-19T00:00:00-07:00,98.16666666666667 A
2017-12-20T00:00:00-07:00,97.32291666666667 A
2017-12-21T00:00:00-07:00,95.19791666666667 A
2017-12-22T00:00:00-07:00,94.13541666666667 A
2017-12-23T00:00:00-07:00,84.3125 A
2017-12-24T00:00:00-07:00,87.19791666666667 A
2017-12-25T00:00:00-07:00,85.5 A
2017-12-26T00:00:00-07:00,85.44791666666667 A
2017-12-27T00:00:00-07:00,92.72916666666667 A
2017-12-28T00:00:00-07:00,92.36458333333333 A
2017-12-29T00:00:00-07:00,84.05208333333333 A
2017-12-30T00:00:00-07:00,81.10416666666667 A
2017-12-31T00:00:00-07:00,83.94791666666667 A
