Timestamp,"['1ee9aa5e-61cafb5e 0053-OLPIN UNION Power Meter (53-2) 300116 W-hours, Received']"
2017-12-01T00:00:00-07:00,2301.0625 kWh
2017-12-02T00:00:00-07:00,1880.0625 kWh
2017-12-03T00:00:00-07:00,1763.1875 kWh
2017-12-04T00:00:00-07:00,2355.875 kWh
2017-12-05T00:00:00-07:00,2448.875 kWh
2017-12-06T00:00:00-07:00,2396.5625 kWh
2017-12-07T00:00:00-07:00,2366.375 kWh
2017-12-08T00:00:00-07:00,2350.75 kWh
2017-12-09T00:00:00-07:00,1817.5625 kWh
2017-12-10T00:00:00-07:00,1661.0625 kWh
2017-12-11T00:00:00-07:00,2282.3125 kWh
2017-12-12T00:00:00-07:00,2335.125 kWh
2017-12-13T00:00:00-07:00,2300.375 kWh
2017-12-14T00:00:00-07:00,2318.125 kWh
2017-12-15T00:00:00-07:00,2195.625 kWh
2017-12-16T00:00:00-07:00,1776.375 kWh
2017-12-17T00:00:00-07:00,1563.1875 kWh
2017-12-18T00:00:00-07:00,2042.9375 kWh
2017-12-19T00:00:00-07:00,2044.3125 kWh
2017-12-20T00:00:00-07:00,2018.5625 kWh
2017-12-21T00:00:00-07:00,2050.75 kWh
2017-12-22T00:00:00-07:00,1975.375 kWh
2017-12-23T00:00:00-07:00,1610.25 kWh
2017-12-24T00:00:00-07:00,1612.125 kWh
2017-12-25T00:00:00-07:00,1605.3125 kWh
2017-12-26T00:00:00-07:00,1679.5 kWh
2017-12-27T00:00:00-07:00,1809.625 kWh
2017-12-28T00:00:00-07:00,1807.5625 kWh
2017-12-29T00:00:00-07:00,1498.1875 kWh
2017-12-30T00:00:00-07:00,1479.1875 kWh
2017-12-31T00:00:00-07:00,1487.5 kWh
