Timestamp,['203a2650-caf523f9 0066-SIMMONS PIONEER MEMORIAL THEATRE Power Meter Volts A-N']
2017-11-06T00:00:00-07:00,122.5664583047231 V
2017-11-07T00:00:00-07:00,122.53319573402405 V
2017-11-08T00:00:00-07:00,122.54688000679016 V
2017-11-09T00:00:00-07:00,122.72823731104533 V
2017-11-10T00:00:00-07:00,122.82869044939677 V
2017-11-11T00:00:00-07:00,122.7815150419871 V
2017-11-12T00:00:00-07:00,122.75783371925354 V
2017-11-13T00:00:00-07:00,122.76182556152344 V
2017-11-14T00:00:00-07:00,122.98619826634724 V
2017-11-15T00:00:00-07:00,122.71212482452393 V
2017-11-16T00:00:00-07:00,122.4609842300415 V
2017-11-17T00:00:00-07:00,122.82066162427266 V
2017-11-18T00:00:00-07:00,122.87042657534282 V
2017-11-19T00:00:00-07:00,122.88512134552002 V
2017-11-20T00:00:00-07:00,122.72003118197124 V
2017-11-21T00:00:00-07:00,122.65115706125896 V
2017-11-22T00:00:00-07:00,122.51280339558919 V
2017-11-23T00:00:00-07:00,122.95926109949748 V
2017-11-24T00:00:00-07:00,122.5002601146698 V
2017-11-25T00:00:00-07:00,122.50738803545634 V
2017-11-26T00:00:00-07:00,122.74192341168721 V
2017-11-27T00:00:00-07:00,122.42230542500813 V
2017-11-28T00:00:00-07:00,122.5178731282552 V
2017-11-29T00:00:00-07:00,122.59381326039632 V
2017-11-30T00:00:00-07:00,122.64097205797832 V
2017-12-01T00:00:00-07:00,122.51172375679016 V
2017-12-02T00:00:00-07:00,122.41940474510193 V
2017-12-03T00:00:00-07:00,122.80636302630107 V
2017-12-04T00:00:00-07:00,122.70314621925354 V
2017-12-05T00:00:00-07:00,122.57340749104817 V
2017-12-06T00:00:00-07:00,122.3678806622823 V
2017-12-07T00:00:00-07:00,122.45962492624919 V
2017-12-08T00:00:00-07:00,122.46199949582417 V
2017-12-09T00:00:00-07:00,122.63064543406169 V
2017-12-10T00:00:00-07:00,122.88131880760193 V
2017-12-11T00:00:00-07:00,122.65642754236858 V
2017-12-12T00:00:00-07:00,122.55451353391011 V
2017-12-13T00:00:00-07:00,122.69146466255188 V
2017-12-14T00:00:00-07:00,122.61599850654602 V
2017-12-15T00:00:00-07:00,122.57980529467265 V
2017-12-16T00:00:00-07:00,122.54857611656189 V
2017-12-17T00:00:00-07:00,122.956041653951 V
2017-12-18T00:00:00-07:00,122.76599777385752 V
2017-12-19T00:00:00-07:00,122.66778914133708 V
2017-12-20T00:00:00-07:00,122.55421495437622 V
2017-12-21T00:00:00-07:00,122.78188157081604 V
2017-12-22T00:00:00-07:00,122.79713916778564 V
2017-12-23T00:00:00-07:00,122.65131521224976 V
2017-12-24T00:00:00-07:00,123.01144091288249 V
2017-12-25T00:00:00-07:00,122.91316811243694 V
2017-12-26T00:00:00-07:00,122.96417530377705 V
2017-12-27T00:00:00-07:00,122.89503304163615 V
2017-12-28T00:00:00-07:00,122.92451500892639 V
2017-12-29T00:00:00-07:00,122.79394157727559 V
2017-12-30T00:00:00-07:00,122.84377551078796 V
2017-12-31T00:00:00-07:00,122.89279087384541 V
