Timestamp,['1da98322-927bf059 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Current C']
2017-09-25T00:00:00-06:00,121.88793190403989 A
2017-09-26T00:00:00-06:00,121.96213293075562 A
2017-09-27T00:00:00-06:00,124.01219892501831 A
2017-09-28T00:00:00-06:00,137.25780630111694 A
2017-09-29T00:00:00-06:00,122.77201660474141 A
2017-09-30T00:00:00-06:00,122.74297587076823 A
2017-10-01T00:00:00-06:00,120.07316160202026 A
2017-10-02T00:00:00-06:00,119.26099030176799 A
2017-10-03T00:00:00-06:00,123.44090008735657 A
2017-10-04T00:00:00-06:00,120.68759679794312 A
2017-10-05T00:00:00-06:00,120.0147709051768 A
2017-10-06T00:00:00-06:00,123.59502339363098 A
2017-10-07T00:00:00-06:00,271.46501692136127 A
2017-10-08T00:00:00-06:00,209.59562738736471 A
2017-10-09T00:00:00-06:00,132.6922729810079 A
2017-10-10T00:00:00-06:00,124.76824348851254 A
2017-10-11T00:00:00-06:00,122.82548105340256 A
2017-10-12T00:00:00-06:00,120.54905223846436 A
2017-10-13T00:00:00-06:00,118.68705829821135 A
2017-10-14T00:00:00-06:00,116.09326489766438 A
2017-10-15T00:00:00-06:00,116.98816696802776 A
2017-10-16T00:00:00-06:00,118.21728849411011 A
2017-10-17T00:00:00-06:00,122.03720076878865 A
2017-10-18T00:00:00-06:00,122.2497426668803 A
2017-10-19T00:00:00-06:00,123.31275256474812 A
2017-10-20T00:00:00-06:00,124.20295079549153 A
2017-10-21T00:00:00-06:00,378.56779313087463 A
2017-10-22T00:00:00-06:00,117.96737511952718 A
2017-10-23T00:00:00-06:00,137.05957635243735 A
2017-10-24T00:00:00-06:00,122.08599774042766 A
2017-10-25T00:00:00-06:00,134.51887679100037 A
2017-10-26T00:00:00-06:00,121.26645143826802 A
2017-10-27T00:00:00-06:00,117.89474527041118 A
2017-10-28T00:00:00-06:00,116.93549052874248 A
2017-10-29T00:00:00-06:00,117.66397404670715 A
2017-10-30T00:00:00-06:00,121.06689302126567 A
2017-10-31T00:00:00-06:00,116.66942699750264 A
2017-11-01T00:00:00-06:00,120.7247314453125 A
2017-11-02T00:00:00-06:00,138.27047085762024 A
2017-11-03T00:00:00-06:00,342.3371399910219 A
2017-11-04T00:00:00-06:00,178.69853480656943 A
2017-11-05T00:00:00-06:00,117.17548439025879 A
2017-11-06T00:00:00-07:00,119.69904592413651 A
2017-11-07T00:00:00-07:00,114.11954368428981 A
2017-11-08T00:00:00-07:00,128.77784591025494 A
2017-11-09T00:00:00-07:00,210.2568294207255 A
2017-11-10T00:00:00-07:00,261.205259958903 A
2017-11-11T00:00:00-07:00,337.8764153321584 A
2017-11-12T00:00:00-07:00,121.49792114893596 A
2017-11-13T00:00:00-07:00,126.43617224693298 A
2017-11-14T00:00:00-07:00,118.02576478322347 A
2017-11-15T00:00:00-07:00,117.280220190684 A
2017-11-16T00:00:00-07:00,117.93945161501567 A
2017-11-17T00:00:00-07:00,350.68556237220764 A
2017-11-18T00:00:00-07:00,150.82959413528442 A
2017-11-19T00:00:00-07:00,116.99968282381694 A
2017-11-20T00:00:00-07:00,115.21463561058044 A
2017-11-21T00:00:00-07:00,121.21258131663005 A
2017-11-22T00:00:00-07:00,116.64160505930583 A
2017-11-23T00:00:00-07:00,115.62019085884094 A
2017-11-24T00:00:00-07:00,115.60043199857076 A
2017-11-25T00:00:00-07:00,297.07270018259686 A
2017-11-26T00:00:00-07:00,172.07338086764017 A
2017-11-27T00:00:00-07:00,131.07828529675803 A
2017-11-28T00:00:00-07:00,114.87718653678894 A
2017-11-29T00:00:00-07:00,118.09719880421956 A
2017-11-30T00:00:00-07:00,110.13717007637024 A
2017-12-01T00:00:00-07:00,106.90802224477132 A
2017-12-02T00:00:00-07:00,105.6569534142812 A
2017-12-03T00:00:00-07:00,107.06389419237773 A
2017-12-04T00:00:00-07:00,105.88091659545898 A
2017-12-05T00:00:00-07:00,105.87285534540813 A
2017-12-06T00:00:00-07:00,107.06567708651225 A
2017-12-07T00:00:00-07:00,103.57699807484944 A
2017-12-08T00:00:00-07:00,106.98224560419719 A
2017-12-09T00:00:00-07:00,98.05507129869963 A
2017-12-10T00:00:00-07:00,97.83319354057312 A
2017-12-11T00:00:00-07:00,96.7996289730072 A
2017-12-12T00:00:00-07:00,97.34193762143452 A
2017-12-13T00:00:00-07:00,96.63397367795308 A
2017-12-14T00:00:00-07:00,96.77187307675679 A
2017-12-15T00:00:00-07:00,98.19659908612569 A
2017-12-16T00:00:00-07:00,97.76157756604647 A
2017-12-17T00:00:00-07:00,97.3635082244873 A
2017-12-18T00:00:00-07:00,98.54478706013073 A
2017-12-19T00:00:00-07:00,99.11448589960735 A
2017-12-20T00:00:00-07:00,100.03479933738708 A
2017-12-21T00:00:00-07:00,98.95458030700684 A
2017-12-22T00:00:00-07:00,97.84473514556885 A
2017-12-23T00:00:00-07:00,97.19493778546651 A
2017-12-24T00:00:00-07:00,97.87399085362752 A
2017-12-25T00:00:00-07:00,97.62969207763672 A
2017-12-26T00:00:00-07:00,97.59379402796428 A
2017-12-27T00:00:00-07:00,98.35752852757771 A
2017-12-28T00:00:00-07:00,98.51495464642842 A
2017-12-29T00:00:00-07:00,100.25386174519856 A
2017-12-30T00:00:00-07:00,99.17820469538371 A
2017-12-31T00:00:00-07:00,99.76525640487671 A
