Timestamp,"['1d942987-08457d8a 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) W-hours, Received']"
2017-12-20T00:00:00-07:00,704.8125 kWh
2017-12-21T00:00:00-07:00,677.46875 kWh
2017-12-22T00:00:00-07:00,639.4375 kWh
2017-12-23T00:00:00-07:00,603.28125 kWh
2017-12-24T00:00:00-07:00,576.375 kWh
2017-12-25T00:00:00-07:00,558.25 kWh
2017-12-26T00:00:00-07:00,572.8125 kWh
2017-12-27T00:00:00-07:00,592.75 kWh
2017-12-28T00:00:00-07:00,596.28125 kWh
2017-12-29T00:00:00-07:00,593.84375 kWh
2017-12-30T00:00:00-07:00,592.4375 kWh
2017-12-31T00:00:00-07:00,578.5 kWh
