Timestamp,['1eb2a057-f5b827a5 0074-BUSINESS CLASSROOM BLDG Power Meter (480V) Current A']
2017-11-24T00:00:00-07:00,90.39327764511108 A
2017-11-25T00:00:00-07:00,87.68773031234741 A
2017-11-26T00:00:00-07:00,85.09038225809734 A
2017-11-27T00:00:00-07:00,94.7142186164856 A
2017-11-28T00:00:00-07:00,100.02940694491069 A
2017-11-29T00:00:00-07:00,98.00984851519267 A
2017-11-30T00:00:00-07:00,98.16971627871196 A
2017-12-01T00:00:00-07:00,93.69023776054382 A
2017-12-02T00:00:00-07:00,89.49763242403667 A
2017-12-03T00:00:00-07:00,89.73199113210042 A
2017-12-04T00:00:00-07:00,100.44192043940227 A
2017-12-05T00:00:00-07:00,100.31817285219829 A
2017-12-06T00:00:00-07:00,101.05240678787231 A
2017-12-07T00:00:00-07:00,100.70787739753723 A
2017-12-08T00:00:00-07:00,97.93335715929668 A
2017-12-09T00:00:00-07:00,94.24239230155945 A
2017-12-10T00:00:00-07:00,93.42045950889587 A
2017-12-11T00:00:00-07:00,96.05592854817708 A
2017-12-12T00:00:00-07:00,94.99566872914632 A
2017-12-13T00:00:00-07:00,100.56879941622417 A
2017-12-14T00:00:00-07:00,104.71080422401428 A
2017-12-15T00:00:00-07:00,97.496666431427 A
2017-12-16T00:00:00-07:00,90.73097507158916 A
2017-12-17T00:00:00-07:00,90.30089743932088 A
2017-12-18T00:00:00-07:00,92.75054611698273 A
2017-12-19T00:00:00-07:00,91.75401290257771 A
2017-12-20T00:00:00-07:00,92.01951098442078 A
2017-12-21T00:00:00-07:00,92.80661392211914 A
2017-12-22T00:00:00-07:00,90.20329856872559 A
2017-12-23T00:00:00-07:00,87.22114515304565 A
2017-12-24T00:00:00-07:00,88.83027871449788 A
2017-12-25T00:00:00-07:00,87.433509349823 A
2017-12-26T00:00:00-07:00,87.571639696757 A
2017-12-27T00:00:00-07:00,88.66531133651733 A
2017-12-28T00:00:00-07:00,91.31839458147685 A
2017-12-29T00:00:00-07:00,84.64436451594035 A
2017-12-30T00:00:00-07:00,82.29859828948975 A
2017-12-31T00:00:00-07:00,84.7851022084554 A
