Timestamp,['1d09e916-9c816e43 0084-BIOLOGY BLDG Power Meter 316501 KWH Received']
2017-08-30T00:00:00-06:00,5643.0625 kWh
2017-08-31T00:00:00-06:00,5163.1875 kWh
2017-09-01T00:00:00-06:00,5551.875 kWh
2017-09-02T00:00:00-06:00,5693.125 kWh
2017-09-03T00:00:00-06:00,5460.3125 kWh
2017-09-04T00:00:00-06:00,5385.6925048828125 kWh
2017-09-05T00:00:00-06:00,5809.4300537109375 kWh
2017-09-06T00:00:00-06:00,5985.56982421875 kWh
2017-09-07T00:00:00-06:00,5998.5810546875 kWh
2017-09-08T00:00:00-06:00,5883.359375 kWh
2017-09-09T00:00:00-06:00,5582.599609375 kWh
2017-09-10T00:00:00-06:00,5583.080078125 kWh
2017-09-11T00:00:00-06:00,5860.828125 kWh
2017-09-12T00:00:00-06:00,5877.3203125 kWh
2017-09-13T00:00:00-06:00,5959.7421875 kWh
2017-09-14T00:00:00-06:00,5631.98046875 kWh
2017-09-15T00:00:00-06:00,5658.98046875 kWh
2017-09-16T00:00:00-06:00,5510.0859375 kWh
2017-09-17T00:00:00-06:00,5513.890625 kWh
2017-09-18T00:00:00-06:00,5820.640625 kWh
2017-09-19T00:00:00-06:00,5680.703125 kWh
2017-09-20T00:00:00-06:00,5771.765625 kWh
2017-09-21T00:00:00-06:00,5743.6640625 kWh
2017-09-22T00:00:00-06:00,5722.6796875 kWh
2017-09-23T00:00:00-06:00,5379.4921875 kWh
2017-09-24T00:00:00-06:00,5319.1796875 kWh
2017-09-25T00:00:00-06:00,5752.7734375 kWh
2017-09-26T00:00:00-06:00,5720.15625 kWh
2017-09-27T00:00:00-06:00,5762.7421875 kWh
2017-09-28T00:00:00-06:00,5664.78125 kWh
2017-09-29T00:00:00-06:00,5749.21875 kWh
2017-09-30T00:00:00-06:00,5290.1875 kWh
2017-10-01T00:00:00-06:00,5245.78125 kWh
2017-10-02T00:00:00-06:00,5484.78125 kWh
2017-10-03T00:00:00-06:00,5608 kWh
2017-10-04T00:00:00-06:00,5571.1875 kWh
2017-10-05T00:00:00-06:00,5577.90625 kWh
2017-10-06T00:00:00-06:00,5608.1875 kWh
2017-10-07T00:00:00-06:00,5523.921875 kWh
2017-10-08T00:00:00-06:00,5289.515625 kWh
2017-10-09T00:00:00-06:00,5524.453125 kWh
2017-10-10T00:00:00-06:00,5610.734375 kWh
2017-10-11T00:00:00-06:00,5575.0625 kWh
