Timestamp,['1cac280a-0c99d439 0077-CHRISTENSEN CNTR Power Meter (300172) Current B']
2017-07-25T00:00:00-06:00,119.72163535753886 A
2017-07-26T00:00:00-06:00,124.2657118903266 A
2017-07-27T00:00:00-06:00,119.05070191754236 A
2017-07-28T00:00:00-06:00,108.58582757314046 A
2017-07-29T00:00:00-06:00,99.81159262127346 A
2017-07-30T00:00:00-06:00,102.01320552825928 A
2017-07-31T00:00:00-06:00,117.8557196908527 A
2017-08-01T00:00:00-06:00,123.39964191383785 A
2017-08-02T00:00:00-06:00,119.5149909151925 A
2017-08-03T00:00:00-06:00,114.83931747542488 A
2017-08-04T00:00:00-06:00,118.73693715383645 A
2017-08-05T00:00:00-06:00,108.32401014963786 A
2017-08-06T00:00:00-06:00,101.2032041337755 A
2017-08-07T00:00:00-06:00,115.60662786960602 A
2017-08-08T00:00:00-06:00,115.79423773288727 A
2017-08-09T00:00:00-06:00,114.08387836350335 A
2017-08-10T00:00:00-06:00,108.13839151910011 A
2017-08-11T00:00:00-06:00,112.1256104045444 A
2017-08-12T00:00:00-06:00,107.91908438470628 A
2017-08-13T00:00:00-06:00,109.25167399512397 A
2017-08-14T00:00:00-06:00,114.31556520462036 A
2017-08-15T00:00:00-06:00,109.88040661546918 A
2017-08-16T00:00:00-06:00,122.57850901020898 A
2017-08-17T00:00:00-06:00,114.55051283306545 A
2017-08-18T00:00:00-06:00,121.5615260442098 A
2017-08-19T00:00:00-06:00,117.72711119121975 A
2017-08-20T00:00:00-06:00,115.06711032655504 A
2017-08-21T00:00:00-06:00,122.95317550765144 A
2017-08-22T00:00:00-06:00,142.6605489810308 A
2017-08-23T00:00:00-06:00,148.12061547173394 A
2017-08-24T00:00:00-06:00,133.0842894077301 A
2017-08-25T00:00:00-06:00,117.62491052945455 A
2017-08-26T00:00:00-06:00,111.44433795081244 A
2017-08-27T00:00:00-06:00,110.54191281265683 A
2017-08-28T00:00:00-06:00,129.55125168786532 A
