Timestamp,['1cbae9c6-fc675091 0038-ART BLDG Power Meter 300086 Volts BN']
2017-12-10T00:00:00-07:00,122.3248332341512 V
2017-12-11T00:00:00-07:00,122.26031772295634 V
2017-12-12T00:00:00-07:00,122.12863636016846 V
2017-12-13T00:00:00-07:00,122.28163615862529 V
2017-12-14T00:00:00-07:00,122.2987486521403 V
2017-12-15T00:00:00-07:00,122.27618034680684 V
2017-12-16T00:00:00-07:00,122.39797337849934 V
2017-12-17T00:00:00-07:00,122.1948930422465 V
2017-12-18T00:00:00-07:00,122.20527862220682 V
2017-12-19T00:00:00-07:00,122.18173049123664 V
2017-12-20T00:00:00-07:00,122.31622076034546 V
2017-12-21T00:00:00-07:00,122.14163430531819 V
2017-12-22T00:00:00-07:00,122.34512114524841 V
2017-12-23T00:00:00-07:00,122.25403141975403 V
2017-12-24T00:00:00-07:00,122.27056495348613 V
2017-12-25T00:00:00-07:00,122.45206594467163 V
2017-12-26T00:00:00-07:00,122.40258081754048 V
2017-12-27T00:00:00-07:00,122.11865536371867 V
2017-12-28T00:00:00-07:00,122.36031850179036 V
2017-12-29T00:00:00-07:00,122.27845517794292 V
2017-12-30T00:00:00-07:00,122.23342935244243 V
2017-12-31T00:00:00-07:00,122.16303443908691 V
