Timestamp,['1fd1b090-b06c20d1 0082-SKAGGS BIOLOGY BLDG Power Meter Current A']
2017-11-24T00:00:00-07:00,610.2156375249227 A
2017-11-25T00:00:00-07:00,531.2968842188517 A
2017-11-26T00:00:00-07:00,577.7000109354655 A
2017-11-27T00:00:00-07:00,652.1052179336548 A
2017-11-28T00:00:00-07:00,558.9406353632609 A
2017-11-29T00:00:00-07:00,551.3895928064982 A
2017-11-30T00:00:00-07:00,532.7604274749756 A
2017-12-01T00:00:00-07:00,532.8895905812582 A
2017-12-02T00:00:00-07:00,492.63229910532635 A
2017-12-03T00:00:00-07:00,510.0479253133138 A
2017-12-04T00:00:00-07:00,466.7375084559123 A
2017-12-05T00:00:00-07:00,510.15625762939453 A
2017-12-06T00:00:00-07:00,548.9166812896729 A
2017-12-07T00:00:00-07:00,535.1427164077759 A
2017-12-08T00:00:00-07:00,538.9343868891398 A
2017-12-09T00:00:00-07:00,503.6937615076701 A
2017-12-10T00:00:00-07:00,507.0510498682658 A
2017-12-11T00:00:00-07:00,553.3958438237509 A
2017-12-12T00:00:00-07:00,557.0604270299276 A
2017-12-13T00:00:00-07:00,552.9843873977661 A
2017-12-14T00:00:00-07:00,547.4635518391927 A
2017-12-15T00:00:00-07:00,544.7135521570841 A
2017-12-16T00:00:00-07:00,483.9458414713542 A
2017-12-17T00:00:00-07:00,471.2010456720988 A
2017-12-18T00:00:00-07:00,534.5634496545279 A
2017-12-19T00:00:00-07:00,518.2187598546346 A
2017-12-20T00:00:00-07:00,531.5854272842407 A
2017-12-21T00:00:00-07:00,449.5645891825358 A
2017-12-22T00:00:00-07:00,470.7208423614502 A
2017-12-23T00:00:00-07:00,389.0416720708211 A
2017-12-24T00:00:00-07:00,483.15833981831867 A
2017-12-25T00:00:00-07:00,472.0104223887126 A
2017-12-26T00:00:00-07:00,480.20730145772296 A
2017-12-27T00:00:00-07:00,494.3333412806193 A
2017-12-28T00:00:00-07:00,511.77396933237713 A
2017-12-29T00:00:00-07:00,505.68334197998047 A
2017-12-30T00:00:00-07:00,504.78333981831867 A
2017-12-31T00:00:00-07:00,496.52084000905353 A
