Timestamp,['1ef46852-9372bc23 0070-QUINNEY COLLEGE OF LAW Power Meter 316931 Current C']
2017-12-20T00:00:00-07:00,26.249506910641987 A
2017-12-21T00:00:00-07:00,29.815446436405182 A
2017-12-22T00:00:00-07:00,27.312263200680416 A
2017-12-23T00:00:00-07:00,27.45035348335902 A
2017-12-24T00:00:00-07:00,20.07608051598072 A
2017-12-25T00:00:00-07:00,25.007887264092762 A
2017-12-26T00:00:00-07:00,24.775783956050873 A
2017-12-27T00:00:00-07:00,27.172979533672333 A
2017-12-28T00:00:00-07:00,27.876295189062755 A
2017-12-29T00:00:00-07:00,25.24863012631734 A
2017-12-30T00:00:00-07:00,19.77383044362068 A
2017-12-31T00:00:00-07:00,24.310067643721897 A
