Timestamp,['1fa6235d-e06147c3 0003-GARDNER HALL Power Meter (300015) Current A']
2017-08-11T00:00:00-06:00,187.22180652618408 A
2017-08-12T00:00:00-06:00,177.06967973709106 A
2017-08-13T00:00:00-06:00,161.6128355662028 A
2017-08-14T00:00:00-06:00,171.2657206853231 A
2017-08-15T00:00:00-06:00,159.88774887720743 A
2017-08-16T00:00:00-06:00,160.14086151123047 A
2017-08-17T00:00:00-06:00,161.65810569127402 A
2017-08-18T00:00:00-06:00,163.44163783391318 A
2017-08-19T00:00:00-06:00,172.49870538711548 A
2017-08-20T00:00:00-06:00,155.3188330332438 A
2017-08-21T00:00:00-06:00,173.16141160329184 A
2017-08-22T00:00:00-06:00,175.5136343638102 A
2017-08-23T00:00:00-06:00,175.49221817652383 A
2017-08-24T00:00:00-06:00,178.8465976715088 A
2017-08-25T00:00:00-06:00,172.7493166923523 A
2017-08-26T00:00:00-06:00,154.34874280293783 A
2017-08-27T00:00:00-06:00,150.84818760553995 A
2017-08-28T00:00:00-06:00,180.25169040845788 A
2017-08-29T00:00:00-06:00,177.4265363139491 A
2017-08-30T00:00:00-06:00,187.77743275960287 A
2017-08-31T00:00:00-06:00,183.4307336807251 A
2017-09-01T00:00:00-06:00,188.35666211446127 A
2017-09-02T00:00:00-06:00,163.52076768875122 A
2017-09-03T00:00:00-06:00,158.46477066843133 A
2017-09-04T00:00:00-06:00,166.4178303082784 A
2017-09-05T00:00:00-06:00,179.68065881729126 A
2017-09-06T00:00:00-06:00,191.43285528818765 A
2017-09-07T00:00:00-06:00,196.21314779917398 A
2017-09-08T00:00:00-06:00,198.23136580617805 A
2017-09-09T00:00:00-06:00,184.702436765035 A
2017-09-10T00:00:00-06:00,171.17952267328897 A
2017-09-11T00:00:00-06:00,205.73779773712158 A
2017-09-12T00:00:00-06:00,197.88180494308472 A
2017-09-13T00:00:00-06:00,180.53403568267822 A
2017-09-14T00:00:00-06:00,197.25366592407227 A
2017-09-15T00:00:00-06:00,188.80141957600912 A
2017-09-16T00:00:00-06:00,184.60968923568726 A
2017-09-17T00:00:00-06:00,169.3167807261149 A
2017-09-18T00:00:00-06:00,184.29550059636435 A
2017-09-19T00:00:00-06:00,181.636904557546 A
2017-09-20T00:00:00-06:00,189.33144187927246 A
2017-09-21T00:00:00-06:00,192.1830932299296 A
2017-09-22T00:00:00-06:00,185.45752573013306 A
2017-09-23T00:00:00-06:00,164.07796827952066 A
2017-09-24T00:00:00-06:00,177.50194581349692 A
2017-09-25T00:00:00-06:00,188.10963900883993 A
2017-09-26T00:00:00-06:00,203.4587763150533 A
2017-09-27T00:00:00-06:00,199.32437817255655 A
2017-09-28T00:00:00-06:00,186.0757269859314 A
2017-09-29T00:00:00-06:00,190.72866455713907 A
2017-09-30T00:00:00-06:00,188.91323216756186 A
2017-10-01T00:00:00-06:00,163.29592768351236 A
2017-10-02T00:00:00-06:00,195.15564076105753 A
2017-10-03T00:00:00-06:00,187.37014404932657 A
2017-10-04T00:00:00-06:00,202.32550573349 A
2017-10-05T00:00:00-06:00,198.7629353205363 A
2017-10-06T00:00:00-06:00,194.16442426045737 A
2017-10-07T00:00:00-06:00,158.41108989715576 A
2017-10-08T00:00:00-06:00,163.24255752563477 A
2017-10-09T00:00:00-06:00,165.95392878850302 A
2017-10-10T00:00:00-06:00,160.4892840385437 A
2017-10-11T00:00:00-06:00,161.0845546722412 A
2017-10-12T00:00:00-06:00,162.56520048777261 A
2017-10-13T00:00:00-06:00,170.95470921198526 A
2017-10-14T00:00:00-06:00,181.34581820170084 A
2017-10-15T00:00:00-06:00,155.15549008051553 A
2017-10-16T00:00:00-06:00,179.89480225245157 A
2017-10-17T00:00:00-06:00,182.4074012438456 A
2017-10-18T00:00:00-06:00,184.77063194910684 A
2017-10-19T00:00:00-06:00,190.11695639292398 A
2017-10-20T00:00:00-06:00,178.86461146672568 A
2017-10-21T00:00:00-06:00,169.3835218747457 A
2017-10-22T00:00:00-06:00,163.10255257288614 A
2017-10-23T00:00:00-06:00,189.00868860880533 A
2017-10-24T00:00:00-06:00,188.56048234303793 A
2017-10-25T00:00:00-06:00,188.4518345197042 A
2017-10-26T00:00:00-06:00,187.178525129954 A
2017-10-27T00:00:00-06:00,185.0877366065979 A
2017-10-28T00:00:00-06:00,177.87285296122232 A
2017-10-29T00:00:00-06:00,178.75496530532837 A
2017-10-30T00:00:00-06:00,188.2305267651876 A
2017-10-31T00:00:00-06:00,172.2847868601481 A
2017-11-01T00:00:00-06:00,187.53869660695395 A
2017-11-02T00:00:00-06:00,188.66903813680014 A
2017-11-03T00:00:00-06:00,176.78749306996664 A
2017-11-04T00:00:00-06:00,171.2185810407003 A
2017-11-05T00:00:00-06:00,165.50632308959962 A
2017-11-06T00:00:00-07:00,183.89115699132284 A
2017-11-07T00:00:00-07:00,188.72537104288736 A
2017-11-08T00:00:00-07:00,186.21820751825967 A
2017-11-09T00:00:00-07:00,192.26856311162314 A
2017-11-10T00:00:00-07:00,192.55577246348062 A
2017-11-11T00:00:00-07:00,181.38383070627847 A
2017-11-12T00:00:00-07:00,169.80383745829263 A
2017-11-13T00:00:00-07:00,185.80579153696695 A
2017-11-14T00:00:00-07:00,179.9550976753235 A
2017-11-15T00:00:00-07:00,185.95506525039673 A
2017-11-16T00:00:00-07:00,185.59182516733804 A
2017-11-17T00:00:00-07:00,188.41674009958902 A
2017-11-18T00:00:00-07:00,185.7220598856608 A
2017-11-19T00:00:00-07:00,178.32548570632935 A
2017-11-20T00:00:00-07:00,189.5717485745748 A
2017-11-21T00:00:00-07:00,188.57692909240723 A
2017-11-22T00:00:00-07:00,178.30558840433756 A
2017-11-23T00:00:00-07:00,161.08987601598105 A
2017-11-24T00:00:00-07:00,167.1227501233419 A
2017-11-25T00:00:00-07:00,168.09967835744223 A
2017-11-26T00:00:00-07:00,160.07417885462442 A
2017-11-27T00:00:00-07:00,185.7870667775472 A
2017-11-28T00:00:00-07:00,188.7236649195353 A
2017-11-29T00:00:00-07:00,184.70999972025552 A
2017-11-30T00:00:00-07:00,194.69833135604858 A
2017-12-01T00:00:00-07:00,186.33645836512247 A
2017-12-02T00:00:00-07:00,161.73787911732992 A
2017-12-03T00:00:00-07:00,177.71582126617432 A
2017-12-04T00:00:00-07:00,201.17593256632486 A
2017-12-05T00:00:00-07:00,201.26512495676675 A
2017-12-06T00:00:00-07:00,189.5866468747457 A
2017-12-07T00:00:00-07:00,186.63547356923422 A
2017-12-08T00:00:00-07:00,192.92347558339438 A
2017-12-09T00:00:00-07:00,191.96139017740884 A
2017-12-10T00:00:00-07:00,178.13601477940878 A
2017-12-11T00:00:00-07:00,198.4918327331543 A
2017-12-12T00:00:00-07:00,197.4963026046753 A
2017-12-13T00:00:00-07:00,189.41822957992554 A
2017-12-14T00:00:00-07:00,189.2222088177999 A
2017-12-15T00:00:00-07:00,188.80479303995767 A
2017-12-16T00:00:00-07:00,174.45372788111368 A
2017-12-17T00:00:00-07:00,182.71982034047446 A
2017-12-18T00:00:00-07:00,180.91618199502267 A
2017-12-19T00:00:00-07:00,177.803835550944 A
2017-12-20T00:00:00-07:00,190.2431615193685 A
2017-12-21T00:00:00-07:00,185.8336901664734 A
2017-12-22T00:00:00-07:00,182.84032169977823 A
2017-12-23T00:00:00-07:00,176.55983384450278 A
2017-12-24T00:00:00-07:00,165.34812053044638 A
2017-12-25T00:00:00-07:00,158.02642838160196 A
2017-12-26T00:00:00-07:00,161.58988300959268 A
2017-12-27T00:00:00-07:00,163.83548911412558 A
2017-12-28T00:00:00-07:00,165.49977366129556 A
2017-12-29T00:00:00-07:00,164.5064436594645 A
2017-12-30T00:00:00-07:00,162.3402531941732 A
2017-12-31T00:00:00-07:00,164.55699268976846 A
