Timestamp,"['1fa24757-6c41502c 0002-VOICE & OPERA CNTR Power Meter (301411) Watts, 3-Ph total']"
2017-12-14T00:00:00-07:00,6.075412750244141 kW
2017-12-15T00:00:00-07:00,6.271237373352051 kW
2017-12-16T00:00:00-07:00,6.261590003967285 kW
2017-12-17T00:00:00-07:00,4.547929286956787 kW
2017-12-18T00:00:00-07:00,6.633118152618408 kW
2017-12-19T00:00:00-07:00,4.922996520996094 kW
2017-12-20T00:00:00-07:00,6.807014465332031 kW
2017-12-21T00:00:00-07:00,6.614462375640869 kW
2017-12-22T00:00:00-07:00,6.735509395599365 kW
2017-12-23T00:00:00-07:00,2.9878530502319336 kW
2017-12-24T00:00:00-07:00,7.187239170074463 kW
2017-12-25T00:00:00-07:00,6.697278022766113 kW
2017-12-26T00:00:00-07:00,6.780460357666016 kW
2017-12-27T00:00:00-07:00,6.787530899047852 kW
2017-12-28T00:00:00-07:00,6.701110363006592 kW
2017-12-29T00:00:00-07:00,2.8582732677459717 kW
2017-12-30T00:00:00-07:00,6.5030670166015625 kW
2017-12-31T00:00:00-07:00,6.603707313537598 kW
