Timestamp,['1ef467d0-803ebcfc 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 Current B']
2017-10-20T00:00:00-06:00,91.06971255938213 A
2017-10-21T00:00:00-06:00,55.24061381816864 A
2017-10-22T00:00:00-06:00,53.97664519151052 A
2017-10-23T00:00:00-06:00,77.39065321286519 A
2017-10-24T00:00:00-06:00,68.5630487203598 A
2017-10-25T00:00:00-06:00,73.86498820781708 A
2017-10-26T00:00:00-06:00,71.25690495967865 A
2017-10-27T00:00:00-06:00,67.49861288070679 A
2017-10-28T00:00:00-06:00,50.092761079470314 A
2017-10-29T00:00:00-06:00,53.58781929810842 A
2017-10-30T00:00:00-06:00,69.21389627456665 A
2017-10-31T00:00:00-06:00,67.31617705027263 A
2017-11-01T00:00:00-06:00,76.66456111272176 A
2017-11-02T00:00:00-06:00,75.33131500085194 A
2017-11-03T00:00:00-06:00,70.61930978298187 A
2017-11-04T00:00:00-06:00,56.82869156201681 A
2017-11-05T00:00:00-06:00,53.181715965270996 A
2017-11-06T00:00:00-07:00,83.10419436295827 A
2017-11-07T00:00:00-07:00,75.30965514977773 A
2017-11-08T00:00:00-07:00,69.31437548001607 A
2017-11-09T00:00:00-07:00,77.94467731316884 A
2017-11-10T00:00:00-07:00,65.32785872618358 A
2017-11-11T00:00:00-07:00,56.18105034033457 A
2017-11-12T00:00:00-07:00,54.017751256624855 A
2017-11-13T00:00:00-07:00,73.27626379330952 A
2017-11-14T00:00:00-07:00,76.99652389685313 A
2017-11-15T00:00:00-07:00,68.75646956761678 A
2017-11-16T00:00:00-07:00,82.0468578338623 A
2017-11-17T00:00:00-07:00,71.29644187291463 A
2017-11-18T00:00:00-07:00,52.93322185675303 A
2017-11-19T00:00:00-07:00,54.364752451578774 A
2017-11-20T00:00:00-07:00,71.64646490414937 A
2017-11-21T00:00:00-07:00,67.08605984846751 A
2017-11-22T00:00:00-07:00,60.755130648612976 A
2017-11-23T00:00:00-07:00,48.38379939397176 A
2017-11-24T00:00:00-07:00,54.12485122680664 A
2017-11-25T00:00:00-07:00,51.10221707820892 A
2017-11-26T00:00:00-07:00,57.56742278734843 A
2017-11-27T00:00:00-07:00,75.34749631086986 A
2017-11-28T00:00:00-07:00,69.13774836063385 A
2017-11-29T00:00:00-07:00,75.33744764328003 A
2017-11-30T00:00:00-07:00,73.53404994805653 A
2017-12-01T00:00:00-07:00,77.81448090076447 A
2017-12-02T00:00:00-07:00,61.957809487978615 A
2017-12-03T00:00:00-07:00,53.22073117891947 A
2017-12-04T00:00:00-07:00,81.5626095533371 A
2017-12-05T00:00:00-07:00,75.19966359933217 A
2017-12-06T00:00:00-07:00,84.68219697475433 A
2017-12-07T00:00:00-07:00,81.68000479539235 A
2017-12-08T00:00:00-07:00,72.45736281077068 A
2017-12-09T00:00:00-07:00,56.88365105787913 A
2017-12-10T00:00:00-07:00,55.7804958820343 A
2017-12-11T00:00:00-07:00,81.59389654795329 A
2017-12-12T00:00:00-07:00,83.31294286627518 A
2017-12-13T00:00:00-07:00,80.9051069021225 A
2017-12-14T00:00:00-07:00,89.72327570120494 A
2017-12-15T00:00:00-07:00,85.30042441685994 A
2017-12-16T00:00:00-07:00,61.825871070226036 A
2017-12-17T00:00:00-07:00,53.883123437563576 A
2017-12-18T00:00:00-07:00,67.91268564039662 A
2017-12-19T00:00:00-07:00,64.91364685694377 A
2017-12-20T00:00:00-07:00,64.71841132640839 A
2017-12-21T00:00:00-07:00,68.9564117193222 A
2017-12-22T00:00:00-07:00,58.63234794139862 A
2017-12-23T00:00:00-07:00,51.97405056158701 A
2017-12-24T00:00:00-07:00,50.48815635840098 A
2017-12-25T00:00:00-07:00,49.55281535784403 A
2017-12-26T00:00:00-07:00,53.46320199966431 A
2017-12-27T00:00:00-07:00,55.921903014183044 A
2017-12-28T00:00:00-07:00,51.95047263304392 A
2017-12-29T00:00:00-07:00,51.4930853843689 A
2017-12-30T00:00:00-07:00,49.42497889200846 A
2017-12-31T00:00:00-07:00,51.66545915603638 A
