Timestamp,['1cdb9c50-68bcc28f 0086-MARRIOTT LIBRARY Power Meter 2 KWH Received']
2017-11-23T00:00:00-07:00,6248 kWh
2017-11-24T00:00:00-07:00,6170 kWh
2017-11-25T00:00:00-07:00,7524 kWh
2017-11-26T00:00:00-07:00,8042 kWh
2017-11-27T00:00:00-07:00,9332 kWh
2017-11-28T00:00:00-07:00,8512 kWh
2017-11-29T00:00:00-07:00,8568 kWh
2017-11-30T00:00:00-07:00,8342 kWh
2017-12-01T00:00:00-07:00,8006 kWh
2017-12-02T00:00:00-07:00,7376 kWh
2017-12-03T00:00:00-07:00,7208 kWh
2017-12-04T00:00:00-07:00,7880 kWh
2017-12-05T00:00:00-07:00,8000 kWh
2017-12-06T00:00:00-07:00,7948 kWh
2017-12-07T00:00:00-07:00,7948 kWh
2017-12-08T00:00:00-07:00,7684 kWh
2017-12-09T00:00:00-07:00,6344 kWh
2017-12-10T00:00:00-07:00,5980 kWh
2017-12-11T00:00:00-07:00,8010 kWh
2017-12-12T00:00:00-07:00,7958 kWh
2017-12-13T00:00:00-07:00,8018 kWh
2017-12-14T00:00:00-07:00,7854 kWh
2017-12-15T00:00:00-07:00,7002 kWh
2017-12-16T00:00:00-07:00,4330 kWh
2017-12-17T00:00:00-07:00,3220 kWh
2017-12-18T00:00:00-07:00,6128 kWh
2017-12-19T00:00:00-07:00,5854 kWh
2017-12-20T00:00:00-07:00,5878 kWh
2017-12-21T00:00:00-07:00,5904 kWh
2017-12-22T00:00:00-07:00,5788 kWh
2017-12-23T00:00:00-07:00,3152 kWh
2017-12-24T00:00:00-07:00,3152 kWh
2017-12-25T00:00:00-07:00,3164 kWh
2017-12-26T00:00:00-07:00,3178 kWh
2017-12-27T00:00:00-07:00,3186 kWh
2017-12-28T00:00:00-07:00,3194 kWh
2017-12-29T00:00:00-07:00,3142 kWh
2017-12-30T00:00:00-07:00,3100 kWh
2017-12-31T00:00:00-07:00,3122 kWh
