Timestamp,['1cbae83c-b206e0a0 0038-ART BLDG Power Meter 300086 KWH Received']
2017-10-25T00:00:00-06:00,655.40625 kWh
2017-10-26T00:00:00-06:00,684.21875 kWh
2017-10-27T00:00:00-06:00,633.59375 kWh
2017-10-28T00:00:00-06:00,569 kWh
2017-10-29T00:00:00-06:00,576.40625 kWh
2017-10-30T00:00:00-06:00,660.9375 kWh
2017-10-31T00:00:00-06:00,596.09375 kWh
2017-11-01T00:00:00-06:00,645.5625 kWh
2017-11-02T00:00:00-06:00,705.5625 kWh
2017-11-03T00:00:00-06:00,850.9375 kWh
2017-11-04T00:00:00-06:00,568.8125 kWh
2017-11-05T00:00:00-06:00,555.3125 kWh
2017-11-06T00:00:00-07:00,754.28125 kWh
2017-11-07T00:00:00-07:00,770.875 kWh
2017-11-08T00:00:00-07:00,797.90625 kWh
2017-11-09T00:00:00-07:00,698 kWh
2017-11-10T00:00:00-07:00,653.65625 kWh
2017-11-11T00:00:00-07:00,589.03125 kWh
2017-11-12T00:00:00-07:00,541.5625 kWh
2017-11-13T00:00:00-07:00,729.21875 kWh
2017-11-14T00:00:00-07:00,924.9375 kWh
2017-11-15T00:00:00-07:00,683.8125 kWh
2017-11-16T00:00:00-07:00,670.5625 kWh
2017-11-17T00:00:00-07:00,668.6875 kWh
2017-11-18T00:00:00-07:00,627.5 kWh
2017-11-19T00:00:00-07:00,506.84375 kWh
2017-11-20T00:00:00-07:00,739.6875 kWh
2017-11-21T00:00:00-07:00,722.90625 kWh
2017-11-22T00:00:00-07:00,679.8125 kWh
2017-11-23T00:00:00-07:00,590 kWh
2017-11-24T00:00:00-07:00,502.75 kWh
2017-11-25T00:00:00-07:00,578.34375 kWh
2017-11-26T00:00:00-07:00,698.28125 kWh
2017-11-27T00:00:00-07:00,721.53125 kWh
2017-11-28T00:00:00-07:00,839.1875 kWh
2017-11-29T00:00:00-07:00,815.59375 kWh
2017-11-30T00:00:00-07:00,856.40625 kWh
2017-12-01T00:00:00-07:00,724.03125 kWh
2017-12-02T00:00:00-07:00,589.1875 kWh
2017-12-03T00:00:00-07:00,696.09375 kWh
2017-12-04T00:00:00-07:00,807.28125 kWh
2017-12-05T00:00:00-07:00,858.46875 kWh
2017-12-06T00:00:00-07:00,885.46875 kWh
2017-12-07T00:00:00-07:00,884.625 kWh
2017-12-08T00:00:00-07:00,847.15625 kWh
2017-12-09T00:00:00-07:00,707.9375 kWh
2017-12-10T00:00:00-07:00,583.34375 kWh
2017-12-11T00:00:00-07:00,678.59375 kWh
2017-12-12T00:00:00-07:00,673.15625 kWh
2017-12-13T00:00:00-07:00,649.03125 kWh
2017-12-14T00:00:00-07:00,782.875 kWh
2017-12-15T00:00:00-07:00,659.34375 kWh
2017-12-16T00:00:00-07:00,611.375 kWh
