Timestamp,['1ce63d7d-1ec2ea15 0028-MARRIOTT CENTER FOR DANCE Power Meter Current C']
2017-09-18T00:00:00-06:00,262.2543315887451 A
2017-09-19T00:00:00-06:00,278.6011110941569 A
2017-09-20T00:00:00-06:00,276.9688169161479 A
2017-09-21T00:00:00-06:00,285.40198707580566 A
2017-09-22T00:00:00-06:00,288.7665325800578 A
2017-09-23T00:00:00-06:00,258.60437695185345 A
2017-09-24T00:00:00-06:00,246.3896425565084 A
2017-09-25T00:00:00-06:00,278.46429538726807 A
2017-09-26T00:00:00-06:00,293.5222524007161 A
2017-09-27T00:00:00-06:00,277.0435824394226 A
2017-09-28T00:00:00-06:00,264.0414619445801 A
2017-09-29T00:00:00-06:00,264.4668803215027 A
2017-09-30T00:00:00-06:00,257.4811134338379 A
2017-10-01T00:00:00-06:00,246.6750349998474 A
2017-10-02T00:00:00-06:00,282.0697859128316 A
2017-10-03T00:00:00-06:00,293.30971972147626 A
2017-10-04T00:00:00-06:00,291.85837268829346 A
2017-10-05T00:00:00-06:00,281.65388027826947 A
2017-10-06T00:00:00-06:00,279.6136568387349 A
2017-10-07T00:00:00-06:00,226.39056968688965 A
2017-10-08T00:00:00-06:00,194.66787735621133 A
2017-10-09T00:00:00-06:00,218.21405824025473 A
2017-10-10T00:00:00-06:00,236.80596335728964 A
2017-10-11T00:00:00-06:00,221.2564460436503 A
2017-10-12T00:00:00-06:00,218.82385683059692 A
2017-10-13T00:00:00-06:00,235.11692794164023 A
2017-10-14T00:00:00-06:00,231.55444272359213 A
2017-10-15T00:00:00-06:00,197.86276817321777 A
2017-10-16T00:00:00-06:00,263.2326668103536 A
2017-10-17T00:00:00-06:00,273.68800322214764 A
2017-10-18T00:00:00-06:00,288.42492214838666 A
2017-10-19T00:00:00-06:00,274.6412590344747 A
2017-10-20T00:00:00-06:00,268.6322997411092 A
2017-10-21T00:00:00-06:00,246.4274264971415 A
2017-10-22T00:00:00-06:00,215.86828883488974 A
2017-10-23T00:00:00-06:00,272.31714884440106 A
2017-10-24T00:00:00-06:00,282.1870792706807 A
2017-10-25T00:00:00-06:00,283.1819896697998 A
2017-10-26T00:00:00-06:00,274.65983295440674 A
2017-10-27T00:00:00-06:00,274.9140410423279 A
2017-10-28T00:00:00-06:00,232.1156848271688 A
2017-10-29T00:00:00-06:00,218.63328456878662 A
2017-10-30T00:00:00-06:00,268.48186588287354 A
2017-10-31T00:00:00-06:00,239.16610447565714 A
2017-11-01T00:00:00-06:00,289.8307291666667 A
2017-11-02T00:00:00-06:00,280.0439016024272 A
2017-11-03T00:00:00-06:00,276.8576347033183 A
2017-11-04T00:00:00-06:00,284.38038810094196 A
2017-11-05T00:00:00-06:00,250.99374420166015 A
2017-11-06T00:00:00-07:00,278.05779552459717 A
2017-11-07T00:00:00-07:00,289.78663476308185 A
2017-11-08T00:00:00-07:00,285.9038594563802 A
2017-11-09T00:00:00-07:00,280.45954100290936 A
2017-11-10T00:00:00-07:00,300.8546757698059 A
2017-11-11T00:00:00-07:00,269.3233364423116 A
2017-11-12T00:00:00-07:00,225.81672159830728 A
2017-11-13T00:00:00-07:00,259.0226052602132 A
2017-11-14T00:00:00-07:00,273.8395830790202 A
2017-11-15T00:00:00-07:00,283.5366005897522 A
2017-11-16T00:00:00-07:00,274.40348784128827 A
2017-11-17T00:00:00-07:00,269.76521984736127 A
2017-11-18T00:00:00-07:00,255.51317834854126 A
2017-11-19T00:00:00-07:00,218.43491506576538 A
2017-11-20T00:00:00-07:00,279.18192291259766 A
2017-11-21T00:00:00-07:00,269.8707860310872 A
2017-11-22T00:00:00-07:00,232.24128754933676 A
2017-11-23T00:00:00-07:00,194.5746669769287 A
2017-11-24T00:00:00-07:00,199.6625803311666 A
2017-11-25T00:00:00-07:00,192.9756293296814 A
2017-11-26T00:00:00-07:00,195.20787811279297 A
2017-11-27T00:00:00-07:00,266.2796754837036 A
2017-11-28T00:00:00-07:00,267.29648240407306 A
2017-11-29T00:00:00-07:00,259.2317957878113 A
2017-11-30T00:00:00-07:00,261.5894362131755 A
2017-12-01T00:00:00-07:00,269.47162675857544 A
2017-12-02T00:00:00-07:00,248.9639973640442 A
2017-12-03T00:00:00-07:00,219.55059893925986 A
2017-12-04T00:00:00-07:00,261.9009741147359 A
2017-12-05T00:00:00-07:00,265.0915191968282 A
2017-12-06T00:00:00-07:00,261.7443477312724 A
2017-12-07T00:00:00-07:00,254.27980534235635 A
2017-12-08T00:00:00-07:00,232.60298331578574 A
2017-12-09T00:00:00-07:00,206.16414149602255 A
2017-12-10T00:00:00-07:00,203.7061915397644 A
2017-12-11T00:00:00-07:00,216.09486977259317 A
2017-12-12T00:00:00-07:00,242.28187656402588 A
2017-12-13T00:00:00-07:00,230.85418717066446 A
2017-12-14T00:00:00-07:00,238.69429731369019 A
2017-12-15T00:00:00-07:00,221.15048487981161 A
2017-12-16T00:00:00-07:00,239.81707588831583 A
2017-12-17T00:00:00-07:00,175.3381757736206 A
2017-12-18T00:00:00-07:00,199.4852286537925 A
2017-12-19T00:00:00-07:00,193.3996745745341 A
