Timestamp,Museum of Natural History Temp,Museum of Natural History Humidity,0011-BROWNING BLDG Power Meter 300033 Current C,"0011-BROWNING BLDG Power Meter 300033 Watts, 3-Ph total",0011-BROWNING BLDG Power Meter 300033 Current B,0011-BROWNING BLDG Power Meter 300033 Current A,"0011-BROWNING BLDG Power Meter 300033 W-hours, Received"
2017-04-01T18:30:00-06:00 Denver,54.73400115966797°F,49.28%,,,,,
2017-04-01T18:35:00-06:00 Denver,54.571998596191406°F,49.46%,,,,,
2017-04-01T18:40:00-06:00 Denver,54.428001403808594°F,49.94%,,,,,
2017-04-01T18:45:00-06:00 Denver,54.73400115966797°F,49.64%,,,,,
2017-04-01T18:50:00-06:00 Denver,53.762001037597656°F,50.79%,,,,,
2017-04-01T18:55:00-06:00 Denver,53.492000579833984°F,50.84%,,,,,
2017-04-01T19:00:00-06:00 Denver,53.582000732421875°F,50.58%,,,,,
2017-04-01T19:05:00-06:00 Denver,53.04199981689453°F,52.42%,,,,,
2017-04-01T19:10:00-06:00 Denver,53.09600067138672°F,52.21%,,,,,
2017-04-01T19:15:00-06:00 Denver,52.987998962402344°F,52.76%,,,,,
2017-04-01T19:20:00-06:00 Denver,53.3120002746582°F,52.11%,,,,,
2017-04-01T19:25:00-06:00 Denver,53.54600143432617°F,52.45%,,,,,
2017-04-01T19:30:00-06:00 Denver,53.45600128173828°F,52.19%,,,,,
2017-04-01T19:35:00-06:00 Denver,53.65399932861328°F,52.45%,,,,,
2017-04-01T19:40:00-06:00 Denver,53.2760009765625°F,52.36%,,,,,
2017-04-01T19:45:00-06:00 Denver,52.68199920654297°F,53.85%,,,,,
2017-04-01T19:50:00-06:00 Denver,51.81800079345703°F,55.36%,,,,,
2017-04-01T19:55:00-06:00 Denver,51.0260009765625°F,56.57%,,,,,
2017-04-01T20:00:00-06:00 Denver,50.32400131225586°F,57.96%,,,,,
2017-04-01T20:05:00-06:00 Denver,49.90999984741211°F,58.32%,,,,,
2017-04-01T20:10:00-06:00 Denver,49.67599868774414°F,58.81%,,,,,
2017-04-01T20:15:00-06:00 Denver,49.459999084472656°F,58.88%,,,,,
2017-04-01T20:20:00-06:00 Denver,49.316001892089844°F,59.16%,,,,,
2017-04-01T20:25:00-06:00 Denver,49.20800018310547°F,59.58%,,,,,
2017-04-01T20:30:00-06:00 Denver,48.45199966430664°F,61.62%,,,,,
2017-04-01T20:35:00-06:00 Denver,47.641998291015625°F,62.88%,,,,,
2017-04-01T20:40:00-06:00 Denver,47.69599914550781°F,62.45%,,,,,
2017-04-01T20:45:00-06:00 Denver,47.15599822998047°F,63.94%,,,,,
2017-04-01T20:55:00-06:00 Denver,45.986000061035156°F,66.91%,,,,,
2017-04-01T21:00:00-06:00 Denver,46.14799880981445°F,66.72%,,,,,
2017-04-01T21:05:00-06:00 Denver,46.14799880981445°F,67.46%,,,,,
2017-04-01T21:10:00-06:00 Denver,45.93199920654297°F,67.48%,,,,,
2017-04-01T21:15:00-06:00 Denver,45.625999450683594°F,66.29%,,,,,
2017-04-01T21:20:00-06:00 Denver,45.986000061035156°F,66.47%,,,,,
2017-04-01T21:25:00-06:00 Denver,45.6619987487793°F,65.82%,,,,,
2017-04-01T21:30:00-06:00 Denver,45.95000076293945°F,65.18%,,,,,
2017-04-01T21:35:00-06:00 Denver,45.986000061035156°F,64.93%,,,,,
2017-04-01T21:40:00-06:00 Denver,45.986000061035156°F,65.34%,,,,,
2017-04-01T21:45:00-06:00 Denver,45.391998291015625°F,67.79%,,,,,
2017-04-01T21:55:00-06:00 Denver,45.374000549316406°F,67.31%,,,,,
2017-04-01T22:00:00-06:00 Denver,45.06800079345703°F,67.84%,,,,,
2017-04-01T22:05:00-06:00 Denver,45.284000396728516°F,67.04%,,,,,
2017-04-01T22:10:00-06:00 Denver,44.65399932861328°F,68.07%,,,,,
2017-04-01T22:15:00-06:00 Denver,44.077999114990234°F,69.31%,,,,,
2017-04-01T22:20:00-06:00 Denver,43.68199920654297°F,69.97%,,,,,
2017-04-01T22:25:00-06:00 Denver,43.34000015258789°F,69.51%,,,,,
2017-04-01T22:30:00-06:00 Denver,43.10599899291992°F,69.79%,,,,,
2017-04-01T22:35:00-06:00 Denver,43.30400085449219°F,68.67%,,,,,
2017-04-01T22:40:00-06:00 Denver,43.321998596191406°F,68.71%,,,,,
2017-04-01T22:45:00-06:00 Denver,43.555999755859375°F,68.05%,,,,,
2017-04-01T22:55:00-06:00 Denver,43.89799880981445°F,66.60%,,,,,
2017-04-01T23:00:00-06:00 Denver,43.68199920654297°F,67.59%,,,,,
2017-04-01T23:05:00-06:00 Denver,44.060001373291016°F,68.86%,,,,,
2017-04-01T23:10:00-06:00 Denver,44.85200119018555°F,66.91%,,,,,
2017-04-01T23:15:00-06:00 Denver,44.97800064086914°F,67.16%,,,,,
2017-04-01T23:20:00-06:00 Denver,45.013999938964844°F,67.18%,,,,,
2017-04-01T23:25:00-06:00 Denver,45.374000549316406°F,66.89%,,,,,
2017-04-01T23:30:00-06:00 Denver,45.35599899291992°F,68.23%,,,,,
2017-04-01T23:35:00-06:00 Denver,45.75199890136719°F,66.79%,,,,,
2017-04-01T23:40:00-06:00 Denver,46.310001373291016°F,66.36%,,,,,
2017-04-01T23:45:00-06:00 Denver,46.597999572753906°F,66.76%,,,,,
2017-04-01T23:50:00-06:00 Denver,46.81399917602539°F,65.56%,,,,,
2017-04-01T23:55:00-06:00 Denver,47.066001892089844°F,65.27%,,,,,
2017-04-02T00:00:00-06:00 Denver,47.012001037597656°F,66.27%,,,,,
2017-04-02T00:05:00-06:00 Denver,46.5260009765625°F,67.48%,,,,,
2017-04-02T00:10:00-06:00 Denver,46.77799987792969°F,65.71%,,,,,
2017-04-02T00:15:00-06:00 Denver,46.832000732421875°F,65.76%,,,,,
2017-04-02T00:20:00-06:00 Denver,46.5620002746582°F,66.18%,,,,,
2017-04-02T00:25:00-06:00 Denver,46.61600112915039°F,65.16%,,,,,
2017-04-02T00:30:00-06:00 Denver,46.54399871826172°F,65.47%,,,,,
2017-04-02T00:35:00-06:00 Denver,46.16600036621094°F,64.70%,,,,,
2017-04-02T00:40:00-06:00 Denver,45.805999755859375°F,64.46%,,,,,
2017-04-02T00:45:00-06:00 Denver,45.75199890136719°F,63.84%,,,,,
2017-04-02T00:55:00-06:00 Denver,44.83399963378906°F,66.39%,,,,,
2017-04-02T01:00:00-06:00 Denver,44.65399932861328°F,66.57%,,,,,
2017-04-02T01:05:00-06:00 Denver,44.959999084472656°F,66.01%,,,,,
2017-04-02T01:10:00-06:00 Denver,45.013999938964844°F,66.85%,,,,,
2017-04-02T01:15:00-06:00 Denver,44.90599822998047°F,67.20%,,,,,
2017-04-02T01:20:00-06:00 Denver,43.71799850463867°F,69.15%,,,,,
2017-04-02T01:25:00-06:00 Denver,43.231998443603516°F,69.80%,,,,,
2017-04-02T01:30:00-06:00 Denver,42.87200164794922°F,71.56%,,,,,
2017-04-02T01:35:00-06:00 Denver,42.79999923706055°F,70.54%,,,,,
2017-04-02T01:40:00-06:00 Denver,42.512001037597656°F,71.58%,,,,,
2017-04-02T01:45:00-06:00 Denver,42.242000579833984°F,71.99%,,,,,
2017-04-02T01:50:00-06:00 Denver,42.13399887084961°F,72.20%,,,,,
2017-04-02T01:55:00-06:00 Denver,42.13399887084961°F,72.43%,,,,,
2017-04-02T02:00:00-06:00 Denver,42.2239990234375°F,72.74%,,,,,
2017-04-02T02:05:00-06:00 Denver,42.67399978637695°F,72.21%,,,,,
2017-04-02T02:10:00-06:00 Denver,43.051998138427734°F,71.02%,,,,,
2017-04-02T02:15:00-06:00 Denver,43.051998138427734°F,70.63%,,,,,
2017-04-02T02:20:00-06:00 Denver,43.01599884033203°F,71.31%,,,,,
2017-04-02T02:25:00-06:00 Denver,43.39400100708008°F,69.94%,,,,,
2017-04-02T02:30:00-06:00 Denver,43.0880012512207°F,70.59%,,,,,
2017-04-02T02:35:00-06:00 Denver,42.763999938964844°F,72.42%,,,,,
2017-04-02T02:40:00-06:00 Denver,42.40399932861328°F,72.36%,,,,,
2017-04-02T02:45:00-06:00 Denver,42.2239990234375°F,73.90%,,,,,
2017-04-02T02:50:00-06:00 Denver,42.529998779296875°F,72.18%,,,,,
