Timestamp,['1e71be51-f4c46ef6 0040-STUDENT SERVICES BLDG Power Meter (300089) Current A']
2017-12-03T00:00:00-07:00,338.5792821248372 A
2017-12-04T00:00:00-07:00,377.5345630645752 A
2017-12-05T00:00:00-07:00,375.29590066274005 A
2017-12-06T00:00:00-07:00,380.9268871943156 A
2017-12-07T00:00:00-07:00,381.9028024673462 A
2017-12-08T00:00:00-07:00,379.07716306050617 A
2017-12-09T00:00:00-07:00,346.5056838989258 A
2017-12-10T00:00:00-07:00,345.9011535644531 A
2017-12-11T00:00:00-07:00,387.749324798584 A
2017-12-12T00:00:00-07:00,384.8099733988444 A
2017-12-13T00:00:00-07:00,388.9076404571533 A
2017-12-14T00:00:00-07:00,384.46592807769775 A
2017-12-15T00:00:00-07:00,373.7390381495158 A
2017-12-16T00:00:00-07:00,344.6191364924113 A
2017-12-17T00:00:00-07:00,344.54559834798175 A
2017-12-18T00:00:00-07:00,382.44823332755794 A
2017-12-19T00:00:00-07:00,379.53800137837726 A
2017-12-20T00:00:00-07:00,375.04112402598065 A
2017-12-21T00:00:00-07:00,386.6080684661865 A
2017-12-22T00:00:00-07:00,373.88768672943115 A
2017-12-23T00:00:00-07:00,347.13934357961017 A
2017-12-24T00:00:00-07:00,354.9796902338664 A
2017-12-25T00:00:00-07:00,344.1199156443278 A
2017-12-26T00:00:00-07:00,344.5404917399089 A
2017-12-27T00:00:00-07:00,370.80376784006756 A
2017-12-28T00:00:00-07:00,369.08814907073975 A
2017-12-29T00:00:00-07:00,340.8953510920207 A
2017-12-30T00:00:00-07:00,334.1836331685384 A
2017-12-31T00:00:00-07:00,331.63933595021564 A
