Timestamp,['1cac6209-e8c0af9e 0009-WIDTSOE BLDG Power Meter 1(300028) VOLT C-N']
2017-12-01T00:00:00-07:00,283.7100636520547 V
2017-12-02T00:00:00-07:00,283.8608647751333 V
2017-12-03T00:00:00-07:00,283.90904035295756 V
2017-12-04T00:00:00-07:00,284.0453399222238 V
2017-12-05T00:00:00-07:00,283.75909027665557 V
2017-12-06T00:00:00-07:00,283.50763650879253 V
2017-12-07T00:00:00-07:00,283.4557964701048 V
2017-12-08T00:00:00-07:00,283.4830412098162 V
2017-12-09T00:00:00-07:00,284.0921193681274 V
2017-12-10T00:00:00-07:00,284.07577383162 V
2017-12-11T00:00:00-07:00,283.94892164551123 V
2017-12-12T00:00:00-07:00,283.57251964649123 V
2017-12-13T00:00:00-07:00,284.08773117225826 V
2017-12-14T00:00:00-07:00,283.7990452585375 V
2017-12-15T00:00:00-07:00,283.715145111084 V
2017-12-16T00:00:00-07:00,283.77088966961475 V
2017-12-17T00:00:00-07:00,283.76755526946715 V
2017-12-18T00:00:00-07:00,283.8977297141335 V
2017-12-19T00:00:00-07:00,283.77953192112625 V
2017-12-20T00:00:00-07:00,283.6975915160022 V
2017-12-21T00:00:00-07:00,283.8140739756359 V
2017-12-22T00:00:00-07:00,284.05532090642066 V
2017-12-23T00:00:00-07:00,283.5735661960083 V
2017-12-24T00:00:00-07:00,284.2530572634503 V
2017-12-25T00:00:00-07:00,283.95225713882394 V
2017-12-26T00:00:00-07:00,283.98857004566906 V
2017-12-27T00:00:00-07:00,283.98867155261587 V
2017-12-28T00:00:00-07:00,283.98615231673944 V
2017-12-29T00:00:00-07:00,283.7750878966895 V
2017-12-30T00:00:00-07:00,283.61524541556247 V
2017-12-31T00:00:00-07:00,283.6719329176552 V
