Timestamp,['1f4f32b1-68ea807b Power Meter (4160V) 316611 Current C']
2017-10-17T00:00:00-06:00,30.697916666666668 A
2017-10-18T00:00:00-06:00,32.489583333333336 A
2017-10-19T00:00:00-06:00,35.604166666666664 A
2017-10-20T00:00:00-06:00,32.234042553191486 A
2017-10-21T00:00:00-06:00,9.145833333333334 A
2017-10-22T00:00:00-06:00,16.05263157894737 A
2017-10-23T00:00:00-06:00,32.989583333333336 A
2017-10-24T00:00:00-06:00,31.072916666666668 A
2017-10-25T00:00:00-06:00,33.083333333333336 A
2017-10-26T00:00:00-06:00,31.395833333333332 A
2017-10-27T00:00:00-06:00,30.229166666666668 A
2017-10-28T00:00:00-06:00,32.084210526315786 A
2017-10-29T00:00:00-06:00,31.705263157894738 A
2017-10-30T00:00:00-06:00,4.604166666666667 A
2017-10-31T00:00:00-06:00,0 A
2017-11-01T00:00:00-06:00,14.297872340425531 A
2017-11-02T00:00:00-06:00,25.833333333333332 A
2017-11-03T00:00:00-06:00,31.76086956521739 A
2017-11-04T00:00:00-06:00,7.24468085106383 A
2017-11-05T00:00:00-06:00,1.48 A
2017-11-06T00:00:00-07:00,0 A
2017-11-07T00:00:00-07:00,0 A
2017-11-08T00:00:00-07:00,0 A
2017-11-09T00:00:00-07:00,5.59375 A
2017-11-10T00:00:00-07:00,0.6 A
2017-11-11T00:00:00-07:00,1.2083333333333333 A
2017-11-12T00:00:00-07:00,1.4842105263157894 A
2017-11-13T00:00:00-07:00,2.2916666666666665 A
2017-11-14T00:00:00-07:00,0 A
2017-11-15T00:00:00-07:00,2.25 A
2017-11-16T00:00:00-07:00,24.385416666666668 A
2017-11-17T00:00:00-07:00,2.9375 A
2017-11-18T00:00:00-07:00,3.0104166666666665 A
2017-11-19T00:00:00-07:00,1.8541666666666667 A
2017-11-20T00:00:00-07:00,1.53125 A
2017-11-21T00:00:00-07:00,5.46875 A
2017-11-22T00:00:00-07:00,7.395833333333333 A
2017-11-23T00:00:00-07:00,0.625 A
2017-11-24T00:00:00-07:00,2.5531914893617023 A
2017-11-25T00:00:00-07:00,0 A
2017-11-26T00:00:00-07:00,8.395833333333334 A
2017-11-27T00:00:00-07:00,20.25 A
2017-11-28T00:00:00-07:00,1.5 A
2017-11-29T00:00:00-07:00,0.8947368421052632 A
2017-11-30T00:00:00-07:00,0.28421052631578947 A
2017-12-01T00:00:00-07:00,0.8854166666666666 A
2017-12-02T00:00:00-07:00,0.6041666666666666 A
2017-12-03T00:00:00-07:00,0.3125 A
2017-12-04T00:00:00-07:00,0 A
2017-12-05T00:00:00-07:00,0 A
2017-12-06T00:00:00-07:00,0 A
2017-12-07T00:00:00-07:00,0 A
2017-12-08T00:00:00-07:00,0 A
2017-12-09T00:00:00-07:00,0 A
2017-12-10T00:00:00-07:00,0 A
2017-12-11T00:00:00-07:00,0 A
2017-12-12T00:00:00-07:00,0 A
2017-12-13T00:00:00-07:00,0 A
2017-12-14T00:00:00-07:00,0 A
2017-12-15T00:00:00-07:00,0 A
2017-12-16T00:00:00-07:00,0 A
2017-12-17T00:00:00-07:00,0 A
2017-12-18T00:00:00-07:00,0 A
2017-12-19T00:00:00-07:00,0 A
2017-12-20T00:00:00-07:00,0 A
2017-12-21T00:00:00-07:00,0 A
2017-12-22T00:00:00-07:00,0 A
2017-12-23T00:00:00-07:00,0 A
2017-12-24T00:00:00-07:00,0 A
2017-12-25T00:00:00-07:00,0 A
2017-12-26T00:00:00-07:00,0 A
2017-12-27T00:00:00-07:00,0 A
2017-12-28T00:00:00-07:00,0 A
2017-12-29T00:00:00-07:00,0 A
2017-12-30T00:00:00-07:00,0 A
2017-12-31T00:00:00-07:00,0 A
