Timestamp,['1fa24747-c514fa25 0002-VOICE & OPERA CNTR Power Meter (301411) Current A']
2017-10-16T00:00:00-06:00,7.8119749414424104 A
2017-10-17T00:00:00-06:00,7.68377323076129 A
2017-10-18T00:00:00-06:00,7.3586532560487585 A
2017-10-19T00:00:00-06:00,6.96846899514397 A
2017-10-20T00:00:00-06:00,7.109190707405408 A
2017-10-21T00:00:00-06:00,1.5438292995095253 A
2017-10-22T00:00:00-06:00,1.9852187720437844 A
2017-10-23T00:00:00-06:00,7.386127294351657 A
2017-10-24T00:00:00-06:00,7.492992675552766 A
2017-10-25T00:00:00-06:00,7.656123723834753 A
2017-10-26T00:00:00-06:00,5.408289783944686 A
2017-10-27T00:00:00-06:00,5.881161458790302 A
2017-10-28T00:00:00-06:00,1.7242672021190326 A
2017-10-29T00:00:00-06:00,1.9042862815161545 A
2017-10-30T00:00:00-06:00,7.239682109405597 A
2017-10-31T00:00:00-06:00,5.079753478368123 A
2017-11-01T00:00:00-06:00,7.147542501489322 A
2017-11-02T00:00:00-06:00,5.441369613011678 A
2017-11-03T00:00:00-06:00,5.74813786521554 A
2017-11-04T00:00:00-06:00,2.220057492454847 A
2017-11-05T00:00:00-06:00,1.7901244604587554 A
2017-11-06T00:00:00-07:00,7.218272125969331 A
2017-11-07T00:00:00-07:00,7.765758655965328 A
2017-11-08T00:00:00-07:00,6.896827522665262 A
2017-11-09T00:00:00-07:00,5.689244565864404 A
2017-11-10T00:00:00-07:00,6.506202998260657 A
2017-11-11T00:00:00-07:00,1.6819312224785488 A
2017-11-12T00:00:00-07:00,2.599342400828997 A
2017-11-13T00:00:00-07:00,6.385132152587175 A
2017-11-14T00:00:00-07:00,7.183968737721443 A
2017-11-15T00:00:00-07:00,7.481881762544314 A
2017-11-16T00:00:00-07:00,5.428163034220536 A
2017-11-17T00:00:00-07:00,5.719742660721143 A
2017-11-18T00:00:00-07:00,2.891440180440744 A
2017-11-19T00:00:00-07:00,4.863484621047974 A
2017-11-20T00:00:00-07:00,8.148650673528513 A
