Timestamp,['1ce63d1b-e21d3912 0028-MARRIOTT CENTER FOR DANCE Power Meter KW  Total']
2017-11-15T00:00:00-07:00,147.6431427001953 kW
2017-11-16T00:00:00-07:00,139.84825134277344 kW
2017-11-17T00:00:00-07:00,142.48910522460938 kW
2017-11-18T00:00:00-07:00,140.6315155029297 kW
2017-11-19T00:00:00-07:00,97.93575286865234 kW
2017-11-20T00:00:00-07:00,163.7871856689453 kW
2017-11-21T00:00:00-07:00,173.56719970703125 kW
2017-11-22T00:00:00-07:00,119.74237060546875 kW
2017-11-23T00:00:00-07:00,83.6930923461914 kW
2017-11-24T00:00:00-07:00,83.3453140258789 kW
2017-11-25T00:00:00-07:00,75.00999450683594 kW
2017-11-26T00:00:00-07:00,82.1615982055664 kW
2017-11-27T00:00:00-07:00,138.7751007080078 kW
2017-11-28T00:00:00-07:00,135.42056274414062 kW
2017-11-29T00:00:00-07:00,126.57279968261719 kW
2017-11-30T00:00:00-07:00,142.83798217773438 kW
2017-12-01T00:00:00-07:00,128.0424041748047 kW
2017-12-02T00:00:00-07:00,114.09259796142578 kW
2017-12-03T00:00:00-07:00,108.0324478149414 kW
2017-12-04T00:00:00-07:00,157.4611358642578 kW
2017-12-05T00:00:00-07:00,168.34181213378906 kW
2017-12-06T00:00:00-07:00,137.1136474609375 kW
2017-12-07T00:00:00-07:00,161.9497528076172 kW
2017-12-08T00:00:00-07:00,129.23837280273438 kW
2017-12-09T00:00:00-07:00,86.27992248535156 kW
2017-12-10T00:00:00-07:00,82.76934814453125 kW
2017-12-11T00:00:00-07:00,101.0375747680664 kW
2017-12-12T00:00:00-07:00,151.88336181640625 kW
2017-12-13T00:00:00-07:00,168.09674072265625 kW
2017-12-14T00:00:00-07:00,156.00543212890625 kW
2017-12-15T00:00:00-07:00,156.01461791992188 kW
2017-12-16T00:00:00-07:00,158.40927124023438 kW
2017-12-17T00:00:00-07:00,68.39688873291016 kW
2017-12-18T00:00:00-07:00,106.52352905273438 kW
2017-12-19T00:00:00-07:00,83.07256317138672 kW
2017-12-20T00:00:00-07:00,76.40247344970703 kW
2017-12-21T00:00:00-07:00,85.63164520263672 kW
2017-12-22T00:00:00-07:00,75.10518646240234 kW
2017-12-23T00:00:00-07:00,74.40519714355469 kW
2017-12-24T00:00:00-07:00,69.40705871582031 kW
2017-12-25T00:00:00-07:00,70.7877426147461 kW
2017-12-26T00:00:00-07:00,69.8709487915039 kW
2017-12-27T00:00:00-07:00,72.36371612548828 kW
2017-12-28T00:00:00-07:00,73.05858612060547 kW
2017-12-29T00:00:00-07:00,75.02657318115234 kW
2017-12-30T00:00:00-07:00,78.90644073486328 kW
2017-12-31T00:00:00-07:00,71.46549224853516 kW
