Timestamp,['206e9e63-c40410ad 0046-LASSONDE STUDIOS Power Meter 316258 Current C']
2017-12-11T00:00:00-07:00,204.12653573354086 A
2017-12-12T00:00:00-07:00,208.23549445470175 A
2017-12-13T00:00:00-07:00,207.85450077056885 A
2017-12-14T00:00:00-07:00,192.82909377415976 A
2017-12-15T00:00:00-07:00,189.71629349390665 A
2017-12-16T00:00:00-07:00,171.51444991429648 A
2017-12-17T00:00:00-07:00,148.49402046203613 A
2017-12-18T00:00:00-07:00,151.51751577725975 A
2017-12-19T00:00:00-07:00,138.49793402353922 A
2017-12-20T00:00:00-07:00,136.45394237836203 A
2017-12-21T00:00:00-07:00,138.14974896113077 A
2017-12-22T00:00:00-07:00,134.89972869555154 A
2017-12-23T00:00:00-07:00,127.4989009698232 A
2017-12-24T00:00:00-07:00,139.40879567464194 A
2017-12-25T00:00:00-07:00,131.05675538380942 A
2017-12-26T00:00:00-07:00,136.3254381020864 A
2017-12-27T00:00:00-07:00,133.1364667415619 A
2017-12-28T00:00:00-07:00,133.18559447924295 A
2017-12-29T00:00:00-07:00,140.094095547994 A
2017-12-30T00:00:00-07:00,140.42487915356955 A
2017-12-31T00:00:00-07:00,135.93621277809143 A
