Timestamp,['1cac6eaa-c5f5c516 0011-BROWNING BLDG Power Meter 311945 VOLT C-N']
2017-11-20T00:00:00-07:00,123.06258343060811 V
2017-11-21T00:00:00-07:00,122.95400750901965 V
2017-11-22T00:00:00-07:00,122.88315631548564 V
2017-11-23T00:00:00-07:00,123.09747176700168 V
2017-11-24T00:00:00-07:00,122.97217256228129 V
2017-11-25T00:00:00-07:00,122.93587635986667 V
2017-11-26T00:00:00-07:00,123.06790868971083 V
2017-11-27T00:00:00-07:00,122.95559571584066 V
2017-11-28T00:00:00-07:00,122.98516173892551 V
2017-11-29T00:00:00-07:00,123.08548770480685 V
2017-11-30T00:00:00-07:00,123.16599097781712 V
2017-12-01T00:00:00-07:00,122.97472909821404 V
2017-12-02T00:00:00-07:00,122.99001293712192 V
2017-12-03T00:00:00-07:00,123.01020187271966 V
2017-12-04T00:00:00-07:00,123.10355887942843 V
2017-12-05T00:00:00-07:00,122.97938035859002 V
2017-12-06T00:00:00-07:00,122.86740772989062 V
2017-12-07T00:00:00-07:00,122.82121354209052 V
2017-12-08T00:00:00-07:00,122.87904160287646 V
2017-12-09T00:00:00-07:00,123.12674490610759 V
2017-12-10T00:00:00-07:00,123.11645288997227 V
2017-12-11T00:00:00-07:00,123.08053539559774 V
2017-12-12T00:00:00-07:00,122.9602649476793 V
2017-12-13T00:00:00-07:00,123.24290945265028 V
2017-12-14T00:00:00-07:00,123.06336667802599 V
2017-12-15T00:00:00-07:00,123.06524236467149 V
2017-12-16T00:00:00-07:00,123.09973499510023 V
2017-12-17T00:00:00-07:00,123.1187420686086 V
2017-12-18T00:00:00-07:00,123.16319838932583 V
2017-12-19T00:00:00-07:00,123.04145665168762 V
2017-12-20T00:00:00-07:00,122.99969158172607 V
2017-12-21T00:00:00-07:00,123.05732273210495 V
2017-12-22T00:00:00-07:00,123.1102769586775 V
2017-12-23T00:00:00-07:00,122.95441024812085 V
2017-12-24T00:00:00-07:00,123.21840136845907 V
2017-12-25T00:00:00-07:00,123.09750480122037 V
2017-12-26T00:00:00-07:00,123.1334681140052 V
2017-12-27T00:00:00-07:00,123.1164884408315 V
2017-12-28T00:00:00-07:00,123.1265419324239 V
2017-12-29T00:00:00-07:00,123.00231044027541 V
2017-12-30T00:00:00-07:00,123.00237692197165 V
2017-12-31T00:00:00-07:00,123.03075228267245 V
