Timestamp,['201d14f7-e3f2286a 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 Volts A-B']
2017-11-22T00:00:00-07:00,213.77208709716797 V
2017-11-23T00:00:00-07:00,214.14265298843384 V
2017-11-24T00:00:00-07:00,213.87908426920572 V
2017-11-25T00:00:00-07:00,213.7638045946757 V
2017-11-26T00:00:00-07:00,214.00363477071127 V
2017-11-27T00:00:00-07:00,213.87739260991415 V
2017-11-28T00:00:00-07:00,213.93083969751993 V
2017-11-29T00:00:00-07:00,214.02159070968628 V
2017-11-30T00:00:00-07:00,214.09404722849527 V
2017-12-01T00:00:00-07:00,213.74819008509317 V
2017-12-02T00:00:00-07:00,213.79264863332114 V
2017-12-03T00:00:00-07:00,213.87587356567383 V
2017-12-04T00:00:00-07:00,214.03475507100424 V
2017-12-05T00:00:00-07:00,213.7912599245707 V
2017-12-06T00:00:00-07:00,213.60139306386313 V
2017-12-07T00:00:00-07:00,213.58590428034464 V
2017-12-08T00:00:00-07:00,213.58091751734415 V
2017-12-09T00:00:00-07:00,213.9794061978658 V
2017-12-10T00:00:00-07:00,213.93166859944662 V
2017-12-11T00:00:00-07:00,213.97442547480264 V
2017-12-12T00:00:00-07:00,213.69462344520971 V
2017-12-13T00:00:00-07:00,214.16883834203085 V
2017-12-14T00:00:00-07:00,213.8901538848877 V
2017-12-15T00:00:00-07:00,213.8084247907003 V
2017-12-16T00:00:00-07:00,213.90407292048135 V
2017-12-17T00:00:00-07:00,213.94911940892538 V
2017-12-18T00:00:00-07:00,214.12164224604123 V
2017-12-19T00:00:00-07:00,213.9069560368856 V
2017-12-20T00:00:00-07:00,213.87692308425903 V
2017-12-21T00:00:00-07:00,213.98835881551108 V
2017-12-22T00:00:00-07:00,214.0848814646403 V
2017-12-23T00:00:00-07:00,213.71967363357544 V
2017-12-24T00:00:00-07:00,214.11524534225464 V
2017-12-25T00:00:00-07:00,213.91241518656412 V
2017-12-26T00:00:00-07:00,214.01025787989298 V
2017-12-27T00:00:00-07:00,213.98800341288248 V
2017-12-28T00:00:00-07:00,213.98878002166748 V
2017-12-29T00:00:00-07:00,213.8370599746704 V
2017-12-30T00:00:00-07:00,213.8123698234558 V
2017-12-31T00:00:00-07:00,213.82674868901572 V
