Timestamp,['1fe6f7f0-18409e43 Power Meter 085220 (300186) kW tot']
2017-11-11T00:00:00-07:00,78.30000305175781 kW
2017-11-12T00:00:00-07:00,73.4000015258789 kW
2017-11-13T00:00:00-07:00,98.5999984741211 kW
2017-11-14T00:00:00-07:00,97.0999984741211 kW
2017-11-15T00:00:00-07:00,98.19999694824219 kW
2017-11-16T00:00:00-07:00,100.0999984741211 kW
2017-11-17T00:00:00-07:00,103.0999984741211 kW
2017-11-18T00:00:00-07:00,79.30000305175781 kW
2017-11-19T00:00:00-07:00,78.69999694824219 kW
2017-11-20T00:00:00-07:00,100 kW
2017-11-21T00:00:00-07:00,100 kW
2017-11-22T00:00:00-07:00,95.4000015258789 kW
2017-11-23T00:00:00-07:00,74.4000015258789 kW
2017-11-24T00:00:00-07:00,78.4000015258789 kW
2017-11-25T00:00:00-07:00,80.19999694824219 kW
2017-11-26T00:00:00-07:00,79.5 kW
2017-11-27T00:00:00-07:00,100.5 kW
2017-11-28T00:00:00-07:00,101.30000305175781 kW
2017-11-29T00:00:00-07:00,98.0999984741211 kW
2017-11-30T00:00:00-07:00,100.19999694824219 kW
2017-12-01T00:00:00-07:00,94.9000015258789 kW
2017-12-02T00:00:00-07:00,78.30000305175781 kW
2017-12-03T00:00:00-07:00,82.69999694824219 kW
2017-12-04T00:00:00-07:00,100.0999984741211 kW
2017-12-05T00:00:00-07:00,96.9000015258789 kW
2017-12-06T00:00:00-07:00,97.19999694824219 kW
2017-12-07T00:00:00-07:00,98.9000015258789 kW
2017-12-08T00:00:00-07:00,102.9000015258789 kW
2017-12-09T00:00:00-07:00,73.80000305175781 kW
2017-12-10T00:00:00-07:00,76.9000015258789 kW
2017-12-11T00:00:00-07:00,98.80000305175781 kW
2017-12-12T00:00:00-07:00,100.19999694824219 kW
2017-12-13T00:00:00-07:00,99.19999694824219 kW
2017-12-14T00:00:00-07:00,95.19999694824219 kW
2017-12-15T00:00:00-07:00,100.5999984741211 kW
2017-12-16T00:00:00-07:00,76.5999984741211 kW
2017-12-17T00:00:00-07:00,77.0999984741211 kW
2017-12-18T00:00:00-07:00,100.80000305175781 kW
2017-12-19T00:00:00-07:00,101.30000305175781 kW
2017-12-20T00:00:00-07:00,93.30000305175781 kW
2017-12-21T00:00:00-07:00,96.4000015258789 kW
2017-12-22T00:00:00-07:00,98 kW
2017-12-23T00:00:00-07:00,72.0999984741211 kW
2017-12-24T00:00:00-07:00,76.80000305175781 kW
2017-12-25T00:00:00-07:00,77 kW
2017-12-26T00:00:00-07:00,80.5 kW
2017-12-27T00:00:00-07:00,87.80000305175781 kW
2017-12-28T00:00:00-07:00,93 kW
2017-12-29T00:00:00-07:00,73.5999984741211 kW
2017-12-30T00:00:00-07:00,70.4000015258789 kW
2017-12-31T00:00:00-07:00,70.5999984741211 kW
