Timestamp,['1ef467c9-78558dc5 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 Current A']
2017-10-19T00:00:00-06:00,129.0264484087626 A
2017-10-20T00:00:00-06:00,143.2871913909912 A
2017-10-21T00:00:00-06:00,97.7523592710495 A
2017-10-22T00:00:00-06:00,92.95833293596904 A
2017-10-23T00:00:00-06:00,114.03590138753255 A
2017-10-24T00:00:00-06:00,97.1106208562851 A
2017-10-25T00:00:00-06:00,107.38316321372986 A
2017-10-26T00:00:00-06:00,102.00715573628743 A
2017-10-27T00:00:00-06:00,98.12502475579579 A
2017-10-28T00:00:00-06:00,77.18768258889516 A
2017-10-29T00:00:00-06:00,82.82815269629161 A
2017-10-30T00:00:00-06:00,101.57647816340129 A
2017-10-31T00:00:00-06:00,92.40347035725911 A
2017-11-01T00:00:00-06:00,104.63748176892598 A
2017-11-02T00:00:00-06:00,106.39298796653748 A
2017-11-03T00:00:00-06:00,95.8703875541687 A
2017-11-04T00:00:00-06:00,82.30212048689525 A
2017-11-05T00:00:00-06:00,77.54417854309082 A
2017-11-06T00:00:00-07:00,106.34020368258159 A
2017-11-07T00:00:00-07:00,104.57621479034424 A
2017-11-08T00:00:00-07:00,106.6753323872884 A
2017-11-09T00:00:00-07:00,105.59263944625854 A
2017-11-10T00:00:00-07:00,101.34689927101135 A
2017-11-11T00:00:00-07:00,79.46535921096802 A
2017-11-12T00:00:00-07:00,79.26074544588725 A
2017-11-13T00:00:00-07:00,104.7996719678243 A
2017-11-14T00:00:00-07:00,106.46725352605183 A
2017-11-15T00:00:00-07:00,105.06953080495198 A
2017-11-16T00:00:00-07:00,115.05171140034993 A
2017-11-17T00:00:00-07:00,102.83438181877136 A
2017-11-18T00:00:00-07:00,82.93746093908946 A
2017-11-19T00:00:00-07:00,79.6180716753006 A
2017-11-20T00:00:00-07:00,112.86538044611613 A
2017-11-21T00:00:00-07:00,96.99906392892201 A
2017-11-22T00:00:00-07:00,87.20666670799255 A
2017-11-23T00:00:00-07:00,74.35590716203053 A
2017-11-24T00:00:00-07:00,79.6358054081599 A
2017-11-25T00:00:00-07:00,83.90363653500874 A
2017-11-26T00:00:00-07:00,79.3815662463506 A
2017-11-27T00:00:00-07:00,107.34389233589172 A
2017-11-28T00:00:00-07:00,103.6127580801646 A
2017-11-29T00:00:00-07:00,107.64558657010396 A
2017-11-30T00:00:00-07:00,107.31503168741862 A
2017-12-01T00:00:00-07:00,108.55463751157124 A
2017-12-02T00:00:00-07:00,85.83095459143321 A
2017-12-03T00:00:00-07:00,83.87006342411041 A
2017-12-04T00:00:00-07:00,108.93902619679768 A
2017-12-05T00:00:00-07:00,109.53813282648723 A
2017-12-06T00:00:00-07:00,110.7255506515503 A
2017-12-07T00:00:00-07:00,109.1759733359019 A
2017-12-08T00:00:00-07:00,102.88947645823161 A
2017-12-09T00:00:00-07:00,82.3165751695633 A
2017-12-10T00:00:00-07:00,83.15595209598541 A
2017-12-11T00:00:00-07:00,116.55925528208415 A
2017-12-12T00:00:00-07:00,115.47448152240953 A
2017-12-13T00:00:00-07:00,113.27606376012166 A
2017-12-14T00:00:00-07:00,117.38661924997966 A
2017-12-15T00:00:00-07:00,107.89731820424397 A
2017-12-16T00:00:00-07:00,90.03637023766835 A
2017-12-17T00:00:00-07:00,83.43686052163442 A
2017-12-18T00:00:00-07:00,100.72293213875064 A
2017-12-19T00:00:00-07:00,101.04723819096883 A
2017-12-20T00:00:00-07:00,100.68507480621338 A
2017-12-21T00:00:00-07:00,99.65183877944946 A
2017-12-22T00:00:00-07:00,88.21978684266408 A
2017-12-23T00:00:00-07:00,83.62178421020508 A
2017-12-24T00:00:00-07:00,79.51210403442383 A
2017-12-25T00:00:00-07:00,78.73906373977661 A
2017-12-26T00:00:00-07:00,83.35063004493713 A
2017-12-27T00:00:00-07:00,86.05127596855164 A
2017-12-28T00:00:00-07:00,80.10549263159434 A
2017-12-29T00:00:00-07:00,79.02505405743916 A
2017-12-30T00:00:00-07:00,79.16279145081837 A
2017-12-31T00:00:00-07:00,79.22392336527507 A
