Timestamp,['1da98341-11a87245 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Volts B-N']
2017-11-07T00:00:00-07:00,283.0371788511885 V
2017-11-08T00:00:00-07:00,282.9155296163356 V
2017-11-09T00:00:00-07:00,283.01623821258545 V
2017-11-10T00:00:00-07:00,282.79269282023114 V
2017-11-11T00:00:00-07:00,282.0036195119222 V
2017-11-12T00:00:00-07:00,283.01240666707355 V
2017-11-13T00:00:00-07:00,283.1827866236369 V
2017-11-14T00:00:00-07:00,283.74196497599286 V
2017-11-15T00:00:00-07:00,283.2444496154785 V
2017-11-16T00:00:00-07:00,283.0434668858846 V
2017-11-17T00:00:00-07:00,282.8063538869222 V
2017-11-18T00:00:00-07:00,283.288774172465 V
2017-11-19T00:00:00-07:00,283.47745577494305 V
2017-11-20T00:00:00-07:00,283.2484556833903 V
2017-11-21T00:00:00-07:00,283.3043619791667 V
2017-11-22T00:00:00-07:00,282.9734630584717 V
2017-11-23T00:00:00-07:00,283.50088119506836 V
2017-11-24T00:00:00-07:00,283.13393179575604 V
2017-11-25T00:00:00-07:00,282.4579553604126 V
2017-11-26T00:00:00-07:00,283.05383173624676 V
2017-11-27T00:00:00-07:00,283.0163116455078 V
2017-11-28T00:00:00-07:00,283.2937307357788 V
2017-11-29T00:00:00-07:00,283.3114144007365 V
2017-11-30T00:00:00-07:00,283.42346572875977 V
2017-12-01T00:00:00-07:00,282.95055929819745 V
2017-12-02T00:00:00-07:00,282.9729194641113 V
2017-12-03T00:00:00-07:00,283.09555371602374 V
2017-12-04T00:00:00-07:00,283.3211612701416 V
2017-12-05T00:00:00-07:00,283.14551544189453 V
2017-12-06T00:00:00-07:00,282.87053871154785 V
2017-12-07T00:00:00-07:00,282.9113477071126 V
2017-12-08T00:00:00-07:00,282.7701807022095 V
2017-12-09T00:00:00-07:00,283.2408697831003 V
2017-12-10T00:00:00-07:00,283.1395200093587 V
2017-12-11T00:00:00-07:00,283.46393871307373 V
2017-12-12T00:00:00-07:00,283.0005283355713 V
2017-12-13T00:00:00-07:00,283.6520175933838 V
2017-12-14T00:00:00-07:00,283.2803471883138 V
2017-12-15T00:00:00-07:00,283.1326888402303 V
2017-12-16T00:00:00-07:00,283.17078600431745 V
2017-12-17T00:00:00-07:00,283.0693140029907 V
2017-12-18T00:00:00-07:00,283.35997806895864 V
2017-12-19T00:00:00-07:00,283.3567984898885 V
2017-12-20T00:00:00-07:00,283.3246081670125 V
2017-12-21T00:00:00-07:00,283.37614917755127 V
2017-12-22T00:00:00-07:00,283.5510673522949 V
2017-12-23T00:00:00-07:00,282.9935235977173 V
2017-12-24T00:00:00-07:00,283.51094977060956 V
2017-12-25T00:00:00-07:00,283.3089962005615 V
2017-12-26T00:00:00-07:00,283.41341495513916 V
2017-12-27T00:00:00-07:00,283.4354362487793 V
2017-12-28T00:00:00-07:00,283.3499507904053 V
2017-12-29T00:00:00-07:00,283.2732620239258 V
2017-12-30T00:00:00-07:00,283.0920041402181 V
2017-12-31T00:00:00-07:00,283.09818776448566 V
