Timestamp,['1cd68681-b28d97ad Power Meter (4160V) 316611 Voltage A-B']
2017-10-02T00:00:00-06:00,4223.666666666667 V
2017-10-03T00:00:00-06:00,4212.111111111111 V
2017-10-04T00:00:00-06:00,4194.875 V
2017-10-05T00:00:00-06:00,4210.875 V
2017-10-06T00:00:00-06:00,4207.055555555556 V
2017-10-07T00:00:00-06:00,4202.666666666667 V
2017-10-08T00:00:00-06:00,4218 V
2017-10-09T00:00:00-06:00,4224 V
2017-10-10T00:00:00-06:00,4193.888888888889 V
2017-10-11T00:00:00-06:00,4189.621212121212 V
2017-10-12T00:00:00-06:00,4200.682926829269 V
2017-10-13T00:00:00-06:00,4213.723404255319 V
2017-10-14T00:00:00-06:00,4225.052083333333 V
2017-10-15T00:00:00-06:00,4230.03125 V
2017-10-16T00:00:00-06:00,4213.520833333333 V
2017-10-17T00:00:00-06:00,4191.614583333333 V
2017-10-18T00:00:00-06:00,4188.270833333333 V
2017-10-19T00:00:00-06:00,4188.385416666667 V
2017-10-20T00:00:00-06:00,4189.968085106383 V
2017-10-21T00:00:00-06:00,4216.104166666667 V
2017-10-22T00:00:00-06:00,4212.115789473684 V
2017-10-23T00:00:00-06:00,4186.458333333333 V
2017-10-24T00:00:00-06:00,4180.427083333333 V
2017-10-25T00:00:00-06:00,4186.625 V
2017-10-26T00:00:00-06:00,4192.15625 V
2017-10-27T00:00:00-06:00,4192.46875 V
2017-10-28T00:00:00-06:00,4183.6736842105265 V
2017-10-29T00:00:00-06:00,4190.147368421052 V
2017-10-30T00:00:00-06:00,4228.40625 V
2017-10-31T00:00:00-06:00,4231.6875 V
2017-11-01T00:00:00-06:00,4212.234042553191 V
2017-11-02T00:00:00-06:00,4198.208333333333 V
2017-11-03T00:00:00-06:00,4188.25 V
2017-11-04T00:00:00-06:00,4220.691489361702 V
2017-11-05T00:00:00-06:00,4224.53 V
2017-11-06T00:00:00-07:00,4226.968421052631 V
2017-11-07T00:00:00-07:00,4228.395833333333 V
2017-11-08T00:00:00-07:00,4228.774193548387 V
2017-11-09T00:00:00-07:00,4226.979166666667 V
2017-11-10T00:00:00-07:00,4232.115789473684 V
2017-11-11T00:00:00-07:00,4224.864583333333 V
2017-11-12T00:00:00-07:00,4228.063157894737 V
2017-11-13T00:00:00-07:00,4228.989583333333 V
2017-11-14T00:00:00-07:00,4240.041666666667 V
2017-11-15T00:00:00-07:00,4229 V
2017-11-16T00:00:00-07:00,4196.302083333333 V
2017-11-17T00:00:00-07:00,4227.697916666667 V
2017-11-18T00:00:00-07:00,4229.135416666667 V
2017-11-19T00:00:00-07:00,4231.729166666667 V
2017-11-20T00:00:00-07:00,4228.010416666667 V
2017-11-21T00:00:00-07:00,4224.229166666667 V
2017-11-22T00:00:00-07:00,4217.833333333333 V
2017-11-23T00:00:00-07:00,4234.166666666667 V
2017-11-24T00:00:00-07:00,4227.393617021276 V
2017-11-25T00:00:00-07:00,4228.427083333333 V
2017-11-26T00:00:00-07:00,4221.729166666667 V
2017-11-27T00:00:00-07:00,4202.354166666667 V
2017-11-28T00:00:00-07:00,4228.895833333333 V
2017-11-29T00:00:00-07:00,4233.4 V
2017-11-30T00:00:00-07:00,4234.968421052631 V
2017-12-01T00:00:00-07:00,4226.479166666667 V
2017-12-02T00:00:00-07:00,4227.145833333333 V
2017-12-03T00:00:00-07:00,4229.697916666667 V
2017-12-04T00:00:00-07:00,4234.505263157895 V
2017-12-05T00:00:00-07:00,4230.905263157894 V
2017-12-06T00:00:00-07:00,4225.760416666667 V
2017-12-07T00:00:00-07:00,4225.989583333333 V
2017-12-08T00:00:00-07:00,4225.375 V
2017-12-09T00:00:00-07:00,4232.25 V
2017-12-10T00:00:00-07:00,4231.75 V
2017-12-11T00:00:00-07:00,4234.78125 V
2017-12-12T00:00:00-07:00,4229.541666666667 V
2017-12-13T00:00:00-07:00,4238.739583333333 V
2017-12-14T00:00:00-07:00,4232.09375 V
2017-12-15T00:00:00-07:00,4230.239583333333 V
2017-12-16T00:00:00-07:00,4232.041666666667 V
2017-12-17T00:00:00-07:00,4233.177083333333 V
2017-12-18T00:00:00-07:00,4234.366666666667 V
2017-12-19T00:00:00-07:00,4232.760416666667 V
2017-12-20T00:00:00-07:00,4231.729166666667 V
2017-12-21T00:00:00-07:00,4235.239583333333 V
2017-12-22T00:00:00-07:00,4237.0625 V
2017-12-23T00:00:00-07:00,4228.572916666667 V
2017-12-24T00:00:00-07:00,4236.59375 V
2017-12-25T00:00:00-07:00,4232.574468085107 V
2017-12-26T00:00:00-07:00,4234.1875 V
2017-12-27T00:00:00-07:00,4234.083333333333 V
2017-12-28T00:00:00-07:00,4232.927083333333 V
2017-12-29T00:00:00-07:00,4230.833333333333 V
2017-12-30T00:00:00-07:00,4230.260416666667 V
2017-12-31T00:00:00-07:00,4231.15625 V
