Timestamp,['1cac272a-04cde8b7 0077-CHRISTENSEN CNTR Power Meter (300172) KWH Received']
2017-09-11T00:00:00-06:00,2193.34375 kWh
2017-09-12T00:00:00-06:00,2153.21875 kWh
2017-09-13T00:00:00-06:00,2131.03125 kWh
2017-09-14T00:00:00-06:00,2043.5625 kWh
2017-09-15T00:00:00-06:00,1955.15625 kWh
2017-09-16T00:00:00-06:00,1764.4375 kWh
2017-09-17T00:00:00-06:00,1448.25 kWh
2017-09-18T00:00:00-06:00,2057.96875 kWh
2017-09-19T00:00:00-06:00,2134.6875 kWh
2017-09-20T00:00:00-06:00,2302.1875 kWh
2017-09-21T00:00:00-06:00,1949.96875 kWh
2017-09-22T00:00:00-06:00,1737.5 kWh
2017-09-23T00:00:00-06:00,1487.875 kWh
2017-09-24T00:00:00-06:00,1502.15625 kWh
2017-09-25T00:00:00-06:00,2051.5625 kWh
2017-09-26T00:00:00-06:00,2278.625 kWh
2017-09-27T00:00:00-06:00,2057.28125 kWh
2017-09-28T00:00:00-06:00,1994 kWh
2017-09-29T00:00:00-06:00,1970.65625 kWh
2017-09-30T00:00:00-06:00,1893.25 kWh
2017-10-01T00:00:00-06:00,1668.96875 kWh
2017-10-02T00:00:00-06:00,2003.375 kWh
2017-10-03T00:00:00-06:00,1967.875 kWh
2017-10-04T00:00:00-06:00,2004.875 kWh
2017-10-05T00:00:00-06:00,2034.25 kWh
2017-10-06T00:00:00-06:00,1856.625 kWh
2017-10-07T00:00:00-06:00,1799.40625 kWh
2017-10-08T00:00:00-06:00,1834.6875 kWh
2017-10-09T00:00:00-06:00,1906.03125 kWh
2017-10-10T00:00:00-06:00,1943.3125 kWh
2017-10-11T00:00:00-06:00,1927.84375 kWh
2017-10-12T00:00:00-06:00,1838 kWh
2017-10-13T00:00:00-06:00,1924.625 kWh
2017-10-14T00:00:00-06:00,1834.9375 kWh
2017-10-15T00:00:00-06:00,1613.625 kWh
2017-10-16T00:00:00-06:00,2078.78125 kWh
2017-10-17T00:00:00-06:00,2161.65625 kWh
2017-10-18T00:00:00-06:00,1977.40625 kWh
2017-10-19T00:00:00-06:00,2110.15625 kWh
2017-10-20T00:00:00-06:00,1820.90625 kWh
2017-10-21T00:00:00-06:00,1841.34375 kWh
2017-10-22T00:00:00-06:00,1830.5625 kWh
2017-10-23T00:00:00-06:00,2046.5625 kWh
2017-10-24T00:00:00-06:00,2154.96875 kWh
