Timestamp,['1cc972b2-eecd14d9 0051-STERLING SILL CNTR Power Meter Volts CA']
2017-09-19T00:00:00-06:00,210.7812498410543 V
2017-09-20T00:00:00-06:00,210.97916634877524 V
2017-09-21T00:00:00-06:00,211.07395839691162 V
2017-09-22T00:00:00-06:00,211.3145833015442 V
2017-09-23T00:00:00-06:00,210.74166631698608 V
2017-09-24T00:00:00-06:00,211.02604230244955 V
2017-09-25T00:00:00-06:00,211.05312458674112 V
2017-09-26T00:00:00-06:00,210.95937490463257 V
2017-09-27T00:00:00-06:00,211.09583298365274 V
2017-09-28T00:00:00-06:00,211.03958304723105 V
2017-09-29T00:00:00-06:00,211.00625006357828 V
2017-09-30T00:00:00-06:00,210.61562410990396 V
2017-10-01T00:00:00-06:00,210.66666746139526 V
2017-10-02T00:00:00-06:00,211.00416692097983 V
2017-10-03T00:00:00-06:00,210.67395861943564 V
2017-10-04T00:00:00-06:00,211.05000003178915 V
2017-10-05T00:00:00-06:00,210.93541733423868 V
2017-10-06T00:00:00-06:00,210.87916723887125 V
2017-10-07T00:00:00-06:00,211.13854201634726 V
2017-10-08T00:00:00-06:00,211.12291717529297 V
2017-10-09T00:00:00-06:00,211.10624980926514 V
2017-10-10T00:00:00-06:00,210.8479167620341 V
2017-10-11T00:00:00-06:00,210.90104246139526 V
2017-10-12T00:00:00-06:00,211.08020893732706 V
2017-10-13T00:00:00-06:00,210.98124996821085 V
2017-10-14T00:00:00-06:00,210.96979109446207 V
2017-10-15T00:00:00-06:00,210.95208326975504 V
2017-10-16T00:00:00-06:00,211.05833387374878 V
2017-10-17T00:00:00-06:00,210.83645741144815 V
2017-10-18T00:00:00-06:00,211.15833361943564 V
2017-10-19T00:00:00-06:00,211.19687445958456 V
2017-10-20T00:00:00-06:00,210.8239582379659 V
2017-10-21T00:00:00-06:00,211.11145766576132 V
2017-10-22T00:00:00-06:00,210.91770855585733 V
2017-10-23T00:00:00-06:00,211.16562445958456 V
2017-10-24T00:00:00-06:00,210.91874980926514 V
2017-10-25T00:00:00-06:00,211.01770814259848 V
2017-10-26T00:00:00-06:00,210.84062465031943 V
2017-10-27T00:00:00-06:00,210.9927077293396 V
2017-10-28T00:00:00-06:00,210.9166660308838 V
2017-10-29T00:00:00-06:00,210.77187458674112 V
2017-10-30T00:00:00-06:00,211.0656237602234 V
2017-10-31T00:00:00-06:00,211.19479195276895 V
