Timestamp,['1ef4686d-41f12ab1 0070-QUINNEY COLLEGE OF LAW Power Meter 313199 Current B']
2017-10-23T00:00:00-06:00,146.82694951693216 A
2017-10-24T00:00:00-06:00,143.03360390663147 A
2017-10-25T00:00:00-06:00,150.13391613960266 A
2017-10-26T00:00:00-06:00,149.05996894836426 A
2017-10-27T00:00:00-06:00,139.43402226765951 A
2017-10-28T00:00:00-06:00,107.63544050852458 A
2017-10-29T00:00:00-06:00,94.06601651509602 A
2017-10-30T00:00:00-06:00,156.08834783236185 A
2017-10-31T00:00:00-06:00,140.25238060951233 A
2017-11-01T00:00:00-06:00,166.3580219745636 A
2017-11-02T00:00:00-06:00,165.0661542415619 A
2017-11-03T00:00:00-06:00,168.87907711664835 A
2017-11-04T00:00:00-06:00,141.4530335267385 A
2017-11-05T00:00:00-06:00,136.01368980407716 A
2017-11-06T00:00:00-07:00,166.74704567591348 A
2017-11-07T00:00:00-07:00,160.34789403279623 A
2017-11-08T00:00:00-07:00,160.34154081344604 A
2017-11-09T00:00:00-07:00,164.96970748901367 A
2017-11-10T00:00:00-07:00,168.6589765548706 A
2017-11-11T00:00:00-07:00,146.9395124912262 A
2017-11-12T00:00:00-07:00,141.30131340026855 A
2017-11-13T00:00:00-07:00,153.42115887006125 A
2017-11-14T00:00:00-07:00,172.83512345949808 A
2017-11-15T00:00:00-07:00,187.20426551500955 A
2017-11-16T00:00:00-07:00,182.14182917277017 A
2017-11-17T00:00:00-07:00,193.8374845981598 A
2017-11-18T00:00:00-07:00,164.26595997810364 A
2017-11-19T00:00:00-07:00,105.62325964371364 A
2017-11-20T00:00:00-07:00,197.11162495613098 A
2017-11-21T00:00:00-07:00,170.34873994191489 A
2017-11-22T00:00:00-07:00,151.533731619517 A
2017-11-23T00:00:00-07:00,144.68774032592773 A
2017-11-24T00:00:00-07:00,146.57544191678366 A
2017-11-25T00:00:00-07:00,121.37889568010966 A
2017-11-26T00:00:00-07:00,92.61747169494629 A
2017-11-27T00:00:00-07:00,187.8198496500651 A
2017-11-28T00:00:00-07:00,192.7598634560903 A
2017-11-29T00:00:00-07:00,198.24156030019125 A
2017-11-30T00:00:00-07:00,188.90311487515768 A
2017-12-01T00:00:00-07:00,200.79571421941122 A
2017-12-02T00:00:00-07:00,189.42101772626242 A
2017-12-03T00:00:00-07:00,147.3909374078115 A
2017-12-04T00:00:00-07:00,217.58876117070517 A
2017-12-05T00:00:00-07:00,210.87255462010702 A
2017-12-06T00:00:00-07:00,214.87151845296225 A
2017-12-07T00:00:00-07:00,216.87256081899008 A
2017-12-08T00:00:00-07:00,212.70199791590372 A
2017-12-09T00:00:00-07:00,203.44186639785767 A
2017-12-10T00:00:00-07:00,201.7835192680359 A
2017-12-11T00:00:00-07:00,203.40675592422485 A
2017-12-12T00:00:00-07:00,211.9637705485026 A
2017-12-13T00:00:00-07:00,217.59401003519693 A
2017-12-14T00:00:00-07:00,208.4158533414205 A
2017-12-15T00:00:00-07:00,203.0171586672465 A
2017-12-16T00:00:00-07:00,199.96872568130493 A
2017-12-17T00:00:00-07:00,197.09374157587686 A
2017-12-18T00:00:00-07:00,196.9490238312752 A
2017-12-19T00:00:00-07:00,193.29403273264566 A
2017-12-20T00:00:00-07:00,170.83586072921753 A
2017-12-21T00:00:00-07:00,200.05455446243286 A
2017-12-22T00:00:00-07:00,192.91414578755698 A
2017-12-23T00:00:00-07:00,191.65905125935873 A
2017-12-24T00:00:00-07:00,144.4982167085012 A
2017-12-25T00:00:00-07:00,178.85129928588867 A
2017-12-26T00:00:00-07:00,183.21025482813516 A
2017-12-27T00:00:00-07:00,195.57178449630737 A
2017-12-28T00:00:00-07:00,196.42622168858847 A
2017-12-29T00:00:00-07:00,184.74781823158264 A
2017-12-30T00:00:00-07:00,141.45748631159464 A
2017-12-31T00:00:00-07:00,164.02671162287393 A
