Timestamp,['1f7d6c57-1187428b 0372-KENNECOTT MECH ENG BLDG Power Meter 300344 Current B']
2017-10-13T00:00:00-06:00,52.859375 A
2017-10-14T00:00:00-06:00,51.542317708333336 A
2017-10-15T00:00:00-06:00,53.3779296875 A
2017-10-16T00:00:00-06:00,66.69205729166667 A
2017-10-17T00:00:00-06:00,62.838541666666664 A
2017-10-18T00:00:00-06:00,63.699544270833336 A
2017-10-19T00:00:00-06:00,61.7314453125 A
2017-10-20T00:00:00-06:00,61.6904296875 A
2017-10-21T00:00:00-06:00,55.388346354166664 A
2017-10-22T00:00:00-06:00,53.903971354166664 A
2017-10-23T00:00:00-06:00,65.94108072916667 A
2017-10-24T00:00:00-06:00,67.31803385416667 A
2017-10-25T00:00:00-06:00,70.51920572916667 A
2017-10-26T00:00:00-06:00,69.11295572916667 A
2017-10-27T00:00:00-06:00,69.88606770833333 A
2017-10-28T00:00:00-06:00,55.740885416666664 A
2017-10-29T00:00:00-06:00,56.113932291666664 A
2017-10-30T00:00:00-06:00,68.52115885416667 A
2017-10-31T00:00:00-06:00,62.3720703125 A
2017-11-01T00:00:00-06:00,68 A
2017-11-02T00:00:00-06:00,65.1533203125 A
2017-11-03T00:00:00-06:00,60.301432291666664 A
2017-11-04T00:00:00-06:00,52.9404296875 A
2017-11-05T00:00:00-06:00,55.763125 A
2017-11-06T00:00:00-07:00,71.09733072916667 A
2017-11-07T00:00:00-07:00,72.43424479166667 A
2017-11-08T00:00:00-07:00,72.7109375 A
2017-11-09T00:00:00-07:00,67.29817708333333 A
2017-11-10T00:00:00-07:00,69.1455078125 A
2017-11-11T00:00:00-07:00,57.760416666666664 A
2017-11-12T00:00:00-07:00,60.383138020833336 A
2017-11-13T00:00:00-07:00,70.07454427083333 A
2017-11-14T00:00:00-07:00,67.76041666666667 A
2017-11-15T00:00:00-07:00,68.82291666666667 A
2017-11-16T00:00:00-07:00,68.31770833333333 A
2017-11-17T00:00:00-07:00,71.47037760416667 A
2017-11-18T00:00:00-07:00,61.9736328125 A
2017-11-19T00:00:00-07:00,63.264322916666664 A
2017-11-20T00:00:00-07:00,73.23958333333333 A
2017-11-21T00:00:00-07:00,66.669921875 A
2017-11-22T00:00:00-07:00,62.0712890625 A
2017-11-23T00:00:00-07:00,53.639973958333336 A
2017-11-24T00:00:00-07:00,53.43223684210526 A
2017-11-25T00:00:00-07:00,56.452473958333336 A
2017-11-26T00:00:00-07:00,57.81640625 A
2017-11-27T00:00:00-07:00,70.3662109375 A
2017-11-28T00:00:00-07:00,72.7646484375 A
2017-11-29T00:00:00-07:00,72.63997395833333 A
2017-11-30T00:00:00-07:00,73.33854166666667 A
2017-12-01T00:00:00-07:00,74.048828125 A
2017-12-02T00:00:00-07:00,61.909830729166664 A
2017-12-03T00:00:00-07:00,62.7431640625 A
2017-12-04T00:00:00-07:00,84.01497395833333 A
2017-12-05T00:00:00-07:00,81.81022135416667 A
2017-12-06T00:00:00-07:00,80.78971354166667 A
2017-12-07T00:00:00-07:00,78.40787760416667 A
2017-12-08T00:00:00-07:00,74.23567708333333 A
2017-12-09T00:00:00-07:00,66.48274739583333 A
2017-12-10T00:00:00-07:00,67.87858072916667 A
2017-12-11T00:00:00-07:00,70.81477864583333 A
2017-12-12T00:00:00-07:00,72.5947265625 A
2017-12-13T00:00:00-07:00,72.43131510416667 A
2017-12-14T00:00:00-07:00,66.28352864583333 A
2017-12-15T00:00:00-07:00,67.35514322916667 A
2017-12-16T00:00:00-07:00,56.982747395833336 A
2017-12-17T00:00:00-07:00,59.758463541666664 A
2017-12-18T00:00:00-07:00,60.688179347826086 A
2017-12-19T00:00:00-07:00,57.078776041666664 A
2017-12-20T00:00:00-07:00,63.3447265625 A
2017-12-21T00:00:00-07:00,62.692708333333336 A
2017-12-22T00:00:00-07:00,65.25813802083333 A
2017-12-23T00:00:00-07:00,58.2666015625 A
2017-12-24T00:00:00-07:00,61.477864583333336 A
2017-12-25T00:00:00-07:00,60.2998046875 A
2017-12-26T00:00:00-07:00,57.155598958333336 A
2017-12-27T00:00:00-07:00,58.968098958333336 A
2017-12-28T00:00:00-07:00,60.200520833333336 A
2017-12-29T00:00:00-07:00,59.721028645833336 A
2017-12-30T00:00:00-07:00,56.875 A
2017-12-31T00:00:00-07:00,59.268229166666664 A
