Timestamp,['203f267a-7a16e62c 0097-DUMKE GYMNASTICS CNTR Power Meter Current A']
2017-12-21T00:00:00-07:00,51.42661817868551 A
2017-12-22T00:00:00-07:00,52.2327313820521 A
2017-12-23T00:00:00-07:00,49.234328627586365 A
2017-12-24T00:00:00-07:00,50.72055514653524 A
2017-12-25T00:00:00-07:00,50.92012413342794 A
2017-12-26T00:00:00-07:00,52.87278536955515 A
2017-12-27T00:00:00-07:00,58.3709903160731 A
2017-12-28T00:00:00-07:00,58.262709538141884 A
2017-12-29T00:00:00-07:00,53.407462080319725 A
2017-12-30T00:00:00-07:00,56.208581725756325 A
2017-12-31T00:00:00-07:00,51.26569910844167 A
