Timestamp,['1daaa900-9475dbe4 0037-ARCHITECTURE BLDG Power Meter (301159) Current B']
2017-12-09T00:00:00-07:00,37.541160583496094 A
2017-12-10T00:00:00-07:00,40.25837570428848 A
2017-12-11T00:00:00-07:00,45.70884176095327 A
2017-12-12T00:00:00-07:00,44.52774840593338 A
2017-12-13T00:00:00-07:00,43.07771974802017 A
2017-12-14T00:00:00-07:00,42.18128629525503 A
2017-12-15T00:00:00-07:00,40.392209808031716 A
2017-12-16T00:00:00-07:00,30.7031588157018 A
2017-12-17T00:00:00-07:00,29.991064727306366 A
2017-12-18T00:00:00-07:00,35.26880687216054 A
2017-12-19T00:00:00-07:00,32.42716785271963 A
2017-12-20T00:00:00-07:00,29.35575117667516 A
2017-12-21T00:00:00-07:00,30.194678564866383 A
2017-12-22T00:00:00-07:00,27.23797780275345 A
2017-12-23T00:00:00-07:00,27.690240224202473 A
2017-12-24T00:00:00-07:00,24.86440287033717 A
2017-12-25T00:00:00-07:00,21.873023529847462 A
2017-12-26T00:00:00-07:00,22.072197715441387 A
2017-12-27T00:00:00-07:00,22.434257566928864 A
2017-12-28T00:00:00-07:00,22.15008795261383 A
2017-12-29T00:00:00-07:00,24.557874659697216 A
2017-12-30T00:00:00-07:00,24.466421365737915 A
2017-12-31T00:00:00-07:00,24.533954819043476 A
