Timestamp,['1f7d6cf3-51885b9e 0372-KENNECOTT MECH ENG BLDG Power Meter 300344 Real Power']
2017-11-23T00:00:00-07:00,27.167999267578125 kW
2017-11-24T00:00:00-07:00,25.823997497558594 kW
2017-11-25T00:00:00-07:00,26.047996520996094 kW
2017-11-26T00:00:00-07:00,28.6719970703125 kW
2017-11-27T00:00:00-07:00,39.35999298095703 kW
2017-11-28T00:00:00-07:00,38.43199920654297 kW
2017-11-29T00:00:00-07:00,43.10399627685547 kW
2017-11-30T00:00:00-07:00,39.295997619628906 kW
2017-12-01T00:00:00-07:00,41.53599548339844 kW
2017-12-02T00:00:00-07:00,31.807998657226562 kW
2017-12-03T00:00:00-07:00,30.46399688720703 kW
2017-12-04T00:00:00-07:00,39.80799865722656 kW
2017-12-05T00:00:00-07:00,38.55999755859375 kW
2017-12-06T00:00:00-07:00,39.071998596191406 kW
2017-12-07T00:00:00-07:00,37.69599914550781 kW
2017-12-08T00:00:00-07:00,39.711997985839844 kW
2017-12-09T00:00:00-07:00,27.90399932861328 kW
2017-12-10T00:00:00-07:00,29.983997344970703 kW
2017-12-11T00:00:00-07:00,36.57599639892578 kW
2017-12-12T00:00:00-07:00,39.00799560546875 kW
2017-12-13T00:00:00-07:00,39.10399627685547 kW
2017-12-14T00:00:00-07:00,34.91199493408203 kW
2017-12-15T00:00:00-07:00,35.071998596191406 kW
2017-12-16T00:00:00-07:00,26.527999877929688 kW
2017-12-17T00:00:00-07:00,26.78399658203125 kW
2017-12-18T00:00:00-07:00,32.06399917602539 kW
2017-12-19T00:00:00-07:00,28.99199676513672 kW
2017-12-20T00:00:00-07:00,30.46399688720703 kW
2017-12-21T00:00:00-07:00,28.447998046875 kW
2017-12-22T00:00:00-07:00,27.775997161865234 kW
2017-12-23T00:00:00-07:00,26.71999740600586 kW
2017-12-24T00:00:00-07:00,25.79199981689453 kW
2017-12-25T00:00:00-07:00,24.83199691772461 kW
2017-12-26T00:00:00-07:00,27.263999938964844 kW
2017-12-27T00:00:00-07:00,25.95199966430664 kW
2017-12-28T00:00:00-07:00,25.79199981689453 kW
2017-12-29T00:00:00-07:00,26.047996520996094 kW
2017-12-30T00:00:00-07:00,25.855998992919922 kW
2017-12-31T00:00:00-07:00,26.847999572753906 kW
