Timestamp,['1cda76ef-3bfeeee7 0014-TALMAGE BLDG Power Meter Current C']
2017-12-19T00:00:00-07:00,71.56708476278517 A
2017-12-20T00:00:00-07:00,75.03750148349339 A
2017-12-21T00:00:00-07:00,70.84819573296441 A
2017-12-22T00:00:00-07:00,69.15444555282593 A
2017-12-23T00:00:00-07:00,67.38875148561266 A
2017-12-24T00:00:00-07:00,68.23611234558953 A
2017-12-25T00:00:00-07:00,68.74020963244968 A
2017-12-26T00:00:00-07:00,67.21819570064545 A
2017-12-27T00:00:00-07:00,69.5670849720637 A
2017-12-28T00:00:00-07:00,68.38750144110786 A
2017-12-29T00:00:00-07:00,66.57145978079902 A
2017-12-30T00:00:00-07:00,66.63923732969496 A
2017-12-31T00:00:00-07:00,66.47222357326083 A
