Timestamp,['1cd68686-758d8597 Power Meter (4160V) 316611 Voltage B-C']
2017-11-27T00:00:00-07:00,4206.40625 V
2017-11-28T00:00:00-07:00,4233.645833333333 V
2017-11-29T00:00:00-07:00,4238.315789473684 V
2017-11-30T00:00:00-07:00,4240.989473684211 V
2017-12-01T00:00:00-07:00,4232.458333333333 V
2017-12-02T00:00:00-07:00,4233.520833333333 V
2017-12-03T00:00:00-07:00,4234.864583333333 V
2017-12-04T00:00:00-07:00,4238.715789473684 V
2017-12-05T00:00:00-07:00,4234.8105263157895 V
2017-12-06T00:00:00-07:00,4229.666666666667 V
2017-12-07T00:00:00-07:00,4229.822916666667 V
2017-12-08T00:00:00-07:00,4230.458333333333 V
2017-12-09T00:00:00-07:00,4238.65625 V
2017-12-10T00:00:00-07:00,4237.53125 V
2017-12-11T00:00:00-07:00,4236.958333333333 V
2017-12-12T00:00:00-07:00,4231.927083333333 V
2017-12-13T00:00:00-07:00,4240.40625 V
2017-12-14T00:00:00-07:00,4234.71875 V
2017-12-15T00:00:00-07:00,4234.3125 V
2017-12-16T00:00:00-07:00,4234.84375 V
2017-12-17T00:00:00-07:00,4235.125 V
2017-12-18T00:00:00-07:00,4237.033333333334 V
2017-12-19T00:00:00-07:00,4236.385416666667 V
2017-12-20T00:00:00-07:00,4235.09375 V
2017-12-21T00:00:00-07:00,4237.614583333333 V
2017-12-22T00:00:00-07:00,4240.239583333333 V
2017-12-23T00:00:00-07:00,4232.03125 V
2017-12-24T00:00:00-07:00,4241.770833333333 V
2017-12-25T00:00:00-07:00,4237.244680851064 V
2017-12-26T00:00:00-07:00,4237.947916666667 V
2017-12-27T00:00:00-07:00,4238.614583333333 V
2017-12-28T00:00:00-07:00,4237.59375 V
2017-12-29T00:00:00-07:00,4235.65625 V
2017-12-30T00:00:00-07:00,4233.364583333333 V
2017-12-31T00:00:00-07:00,4233.5625 V
