Timestamp,"['1cf8d75f-a178c1dc 0064-MERRILL ENGINEERING BLDG Power Meter (300154, 064-802) KW Total']"
2017-07-01T00:00:00-06:00,2.495999813079834 kW
2017-07-02T00:00:00-06:00,2.603999614715576 kW
2017-07-03T00:00:00-06:00,2.875999927520752 kW
2017-07-04T00:00:00-06:00,2.5319995880126953 kW
2017-07-05T00:00:00-06:00,3.163999557495117 kW
2017-07-06T00:00:00-06:00,3.2559995651245117 kW
2017-07-07T00:00:00-06:00,3.2079997062683105 kW
2017-07-08T00:00:00-06:00,2.543999671936035 kW
2017-07-09T00:00:00-06:00,2.543999671936035 kW
2017-07-10T00:00:00-06:00,3.251999855041504 kW
2017-07-11T00:00:00-06:00,3.311999797821045 kW
2017-07-12T00:00:00-06:00,3.2319998741149902 kW
2017-07-13T00:00:00-06:00,3.131999969482422 kW
2017-07-14T00:00:00-06:00,3.183999538421631 kW
2017-07-15T00:00:00-06:00,2.5199999809265137 kW
2017-07-16T00:00:00-06:00,2.5319995880126953 kW
2017-07-17T00:00:00-06:00,3.2319998741149902 kW
2017-07-18T00:00:00-06:00,3.131999969482422 kW
2017-07-19T00:00:00-06:00,3.1479997634887695 kW
2017-07-20T00:00:00-06:00,3.171999931335449 kW
2017-07-21T00:00:00-06:00,3.103999614715576 kW
2017-07-22T00:00:00-06:00,2.423999786376953 kW
2017-07-23T00:00:00-06:00,2.447999954223633 kW
2017-07-24T00:00:00-06:00,2.5839996337890625 kW
2017-07-25T00:00:00-06:00,3.0999999046325684 kW
2017-07-26T00:00:00-06:00,3.1479997634887695 kW
2017-07-27T00:00:00-06:00,3.2199997901916504 kW
2017-07-28T00:00:00-06:00,3.0159997940063477 kW
2017-07-29T00:00:00-06:00,2.4119997024536133 kW
2017-07-30T00:00:00-06:00,2.3999996185302734 kW
2017-07-31T00:00:00-06:00,3.067999839782715 kW
2017-08-01T00:00:00-06:00,3.1439995765686035 kW
2017-08-02T00:00:00-06:00,3.179999828338623 kW
2017-08-03T00:00:00-06:00,3.131999969482422 kW
2017-08-04T00:00:00-06:00,2.8359999656677246 kW
2017-08-05T00:00:00-06:00,2.3999996185302734 kW
2017-08-06T00:00:00-06:00,2.3519997596740723 kW
2017-08-07T00:00:00-06:00,3.0959997177124023 kW
2017-08-08T00:00:00-06:00,2.9519996643066406 kW
2017-08-09T00:00:00-06:00,2.979999542236328 kW
2017-08-10T00:00:00-06:00,2.863999843597412 kW
2017-08-11T00:00:00-06:00,2.811999797821045 kW
2017-08-12T00:00:00-06:00,2.371999740600586 kW
2017-08-13T00:00:00-06:00,2.303999900817871 kW
2017-08-14T00:00:00-06:00,2.9599995613098145 kW
2017-08-15T00:00:00-06:00,2.8519997596740723 kW
2017-08-16T00:00:00-06:00,2.883999824523926 kW
2017-08-17T00:00:00-06:00,2.863999843597412 kW
2017-08-18T00:00:00-06:00,3.2119998931884766 kW
2017-08-19T00:00:00-06:00,2.5119996070861816 kW
2017-08-20T00:00:00-06:00,2.479999542236328 kW
2017-08-21T00:00:00-06:00,2.927999973297119 kW
2017-08-22T00:00:00-06:00,3.171999931335449 kW
2017-08-23T00:00:00-06:00,3.1439995765686035 kW
2017-08-24T00:00:00-06:00,3.247999668121338 kW
2017-08-25T00:00:00-06:00,3.423999786376953 kW
2017-08-26T00:00:00-06:00,2.543999671936035 kW
2017-08-27T00:00:00-06:00,2.4559998512268066 kW
2017-08-28T00:00:00-06:00,3.179999828338623 kW
2017-08-29T00:00:00-06:00,3.3519997596740723 kW
2017-08-30T00:00:00-06:00,3.251999855041504 kW
2017-08-31T00:00:00-06:00,3.1519999504089355 kW
2017-09-01T00:00:00-06:00,3.1519999504089355 kW
2017-09-02T00:00:00-06:00,2.5919995307922363 kW
2017-09-03T00:00:00-06:00,2.4519996643066406 kW
2017-09-04T00:00:00-06:00,2.5759997367858887 kW
2017-09-05T00:00:00-06:00,3.4119997024536133 kW
2017-09-06T00:00:00-06:00,3.299999713897705 kW
2017-09-07T00:00:00-06:00,3.2639999389648438 kW
2017-09-08T00:00:00-06:00,3.175999641418457 kW
2017-09-09T00:00:00-06:00,2.3959999084472656 kW
2017-09-10T00:00:00-06:00,2.4519996643066406 kW
2017-09-11T00:00:00-06:00,3.311999797821045 kW
2017-09-12T00:00:00-06:00,3.3319997787475586 kW
2017-09-13T00:00:00-06:00,3.3959999084472656 kW
2017-09-14T00:00:00-06:00,3.295999526977539 kW
2017-09-15T00:00:00-06:00,3.1479997634887695 kW
2017-09-16T00:00:00-06:00,2.4039998054504395 kW
2017-09-17T00:00:00-06:00,2.507999897003174 kW
2017-09-18T00:00:00-06:00,3.2679996490478516 kW
2017-09-19T00:00:00-06:00,3.3879995346069336 kW
2017-09-20T00:00:00-06:00,3.4079999923706055 kW
2017-09-21T00:00:00-06:00,3.5279998779296875 kW
2017-09-22T00:00:00-06:00,3.2319998741149902 kW
2017-09-23T00:00:00-06:00,2.5279998779296875 kW
2017-09-24T00:00:00-06:00,2.4679999351501465 kW
2017-09-25T00:00:00-06:00,3.2159996032714844 kW
2017-09-26T00:00:00-06:00,3.3959999084472656 kW
2017-09-27T00:00:00-06:00,3.435999870300293 kW
2017-09-28T00:00:00-06:00,3.5 kW
2017-09-29T00:00:00-06:00,3.2639999389648438 kW
2017-09-30T00:00:00-06:00,2.559999942779541 kW
2017-10-01T00:00:00-06:00,2.419999599456787 kW
2017-10-02T00:00:00-06:00,3.4639997482299805 kW
2017-10-03T00:00:00-06:00,3.431999683380127 kW
2017-10-04T00:00:00-06:00,3.299999713897705 kW
2017-10-05T00:00:00-06:00,3.4559998512268066 kW
2017-10-06T00:00:00-06:00,3.24399995803833 kW
2017-10-07T00:00:00-06:00,2.551999568939209 kW
2017-10-08T00:00:00-06:00,2.5119996070861816 kW
2017-10-09T00:00:00-06:00,3.0199999809265137 kW
2017-10-10T00:00:00-06:00,3.007999897003174 kW
2017-10-11T00:00:00-06:00,3.1439995765686035 kW
2017-10-12T00:00:00-06:00,3.067999839782715 kW
2017-10-13T00:00:00-06:00,2.9679999351501465 kW
2017-10-14T00:00:00-06:00,2.435999870300293 kW
2017-10-15T00:00:00-06:00,2.4639997482299805 kW
2017-10-16T00:00:00-06:00,3.675999641418457 kW
2017-10-17T00:00:00-06:00,3.3879995346069336 kW
2017-10-18T00:00:00-06:00,3.4599995613098145 kW
2017-10-19T00:00:00-06:00,3.303999900817871 kW
2017-10-20T00:00:00-06:00,3.1999998092651367 kW
2017-10-21T00:00:00-06:00,2.483999729156494 kW
2017-10-22T00:00:00-06:00,2.495999813079834 kW
2017-10-23T00:00:00-06:00,3.311999797821045 kW
2017-10-24T00:00:00-06:00,3.5799999237060547 kW
2017-10-25T00:00:00-06:00,3.7239999771118164 kW
2017-10-26T00:00:00-06:00,3.2319998741149902 kW
2017-10-27T00:00:00-06:00,3.0919995307922363 kW
2017-10-28T00:00:00-06:00,2.4639997482299805 kW
2017-10-29T00:00:00-06:00,2.443999767303467 kW
