Timestamp,['1cbae8d4-7c819ced 0038-ART BLDG Power Meter 300086 Current B']
2017-11-25T00:00:00-07:00,62.284580071767174 A
2017-11-26T00:00:00-07:00,78.11672687530518 A
2017-11-27T00:00:00-07:00,78.31455671787262 A
2017-11-28T00:00:00-07:00,94.5444450378418 A
2017-11-29T00:00:00-07:00,87.61780492464702 A
2017-11-30T00:00:00-07:00,94.88251368204753 A
2017-12-01T00:00:00-07:00,77.75145508615594 A
2017-12-02T00:00:00-07:00,61.51151216030121 A
2017-12-03T00:00:00-07:00,77.84646308422089 A
2017-12-04T00:00:00-07:00,94.31027019023895 A
2017-12-05T00:00:00-07:00,105.05740237236023 A
2017-12-06T00:00:00-07:00,109.54448994000752 A
2017-12-07T00:00:00-07:00,103.10449425379436 A
2017-12-08T00:00:00-07:00,105.96989281972249 A
2017-12-09T00:00:00-07:00,83.50115629037221 A
2017-12-10T00:00:00-07:00,66.83952625592549 A
2017-12-11T00:00:00-07:00,83.18089703718822 A
2017-12-12T00:00:00-07:00,78.98086508115132 A
2017-12-13T00:00:00-07:00,71.07275644938152 A
2017-12-14T00:00:00-07:00,89.66927131017049 A
2017-12-15T00:00:00-07:00,76.24730463822682 A
2017-12-16T00:00:00-07:00,63.79562771320343 A
2017-12-17T00:00:00-07:00,65.58376566569011 A
2017-12-18T00:00:00-07:00,85.76367536155126 A
2017-12-19T00:00:00-07:00,72.54133931795756 A
2017-12-20T00:00:00-07:00,64.46806645393372 A
2017-12-21T00:00:00-07:00,85.06278876463573 A
2017-12-22T00:00:00-07:00,81.94046787420909 A
2017-12-23T00:00:00-07:00,60.80280725161234 A
2017-12-24T00:00:00-07:00,47.249688466389976 A
2017-12-25T00:00:00-07:00,41.54312153866417 A
2017-12-26T00:00:00-07:00,62.847540736198425 A
2017-12-27T00:00:00-07:00,51.67819341023763 A
2017-12-28T00:00:00-07:00,56.97645902633667 A
2017-12-29T00:00:00-07:00,50.432244737943016 A
2017-12-30T00:00:00-07:00,51.99823911984762 A
2017-12-31T00:00:00-07:00,49.53828692436218 A
